ds,crisis_name,polygon_id,polygon_name,age_bracket,gender,baseline_name,baseline_type,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,external_polygon_id_type,external_polygon_id
2020-06-24,MEX_gadm_2,22107,Cortazar,Overall,Overall,full_february,DAY_OF_WEEK,-0.15941685613737983,0.21718430834661653,GADM,MEX.11.10_1
2020-06-24,MEX_gadm_2,22484,Cocotitl-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.38994557774844985,0.31444079202740766,GADM,MEX.15.29_1
2020-06-24,MEX_gadm_2,22639,Pajacuar-n,Overall,Overall,full_february,DAY_OF_WEEK,-0.07530139514439446,0.23477015679765048,GADM,MEX.16.66_1
2020-06-24,MEX_gadm_2,23494,Jes-s Carranza,Overall,Overall,full_february,DAY_OF_WEEK,-0.239288838140595,0.34075997228608296,GADM,MEX.30.87_1
2020-06-24,MEX_gadm_2,23663,Villa Garc-a,Overall,Overall,full_february,DAY_OF_WEEK,-0.12799634553141373,0.22007449895974346,GADM,MEX.32.52_1
2020-06-24,MEX_gadm_2,22108,Abasolo,Overall,Overall,full_february,DAY_OF_WEEK,-0.17432294659663716,0.22638146111486787,GADM,MEX.11.1_1
2020-06-24,MEX_gadm_2,22150,Celaya,Overall,Overall,full_february,DAY_OF_WEEK,-0.19512037536247429,0.24121466004861455,GADM,MEX.11.7_1
2020-06-24,MEX_gadm_2,22373,Encarnaci-n de D-az,Overall,Overall,full_february,DAY_OF_WEEK,-0.09514062808908363,0.1990433337881474,GADM,MEX.14.39_1
2020-06-24,MEX_gadm_2,22393,La Huerta,Overall,Overall,full_february,DAY_OF_WEEK,-0.04145328542798484,0.2502059765880804,GADM,MEX.14.57_1
2020-06-24,MEX_gadm_2,22525,Ocuilan,Overall,Overall,full_february,DAY_OF_WEEK,-0.37558470675287076,0.2877385705482016,GADM,MEX.15.66_1
2020-06-24,MEX_gadm_2,22563,Tzintzuntzan,Overall,Overall,full_february,DAY_OF_WEEK,-0.3206809691987936,0.25760029330808537,GADM,MEX.16.100_1
2020-06-24,MEX_gadm_2,22524,Ocoyoacac,Overall,Overall,full_february,DAY_OF_WEEK,-0.33107474867215236,0.3036669783681621,GADM,MEX.15.65_1
2020-06-24,MEX_gadm_2,22546,Temascalapa,Overall,Overall,full_february,DAY_OF_WEEK,-0.27848441467770335,0.28218174074442454,GADM,MEX.15.85_1
2020-06-24,MEX_gadm_2,23143,Agua Prieta,Overall,Overall,full_february,DAY_OF_WEEK,-0.12075103948743598,0.2287035334019615,GADM,MEX.26.2_1
2020-06-24,MEX_gadm_2,23459,Coscomatepec,Overall,Overall,full_february,DAY_OF_WEEK,-0.1858777075823959,0.247933061158183,GADM,MEX.30.55_1
2020-06-24,MEX_gadm_2,22126,Salamanca,Overall,Overall,full_february,DAY_OF_WEEK,-0.1960189678023473,0.2404424917005163,GADM,MEX.11.27_1
2020-06-24,MEX_gadm_2,22856,San Pedro Cholula,Overall,Overall,full_february,DAY_OF_WEEK,-0.3229465376631119,0.30956111817338533,GADM,MEX.21.138_1
2020-06-24,MEX_gadm_2,23173,Puerto Pe-asco,Overall,Overall,full_february,DAY_OF_WEEK,-0.21303933646652806,0.23586383595949548,GADM,MEX.26.48_1
2020-06-24,MEX_gadm_2,23632,Loreto,Overall,Overall,full_february,DAY_OF_WEEK,-0.08538731203957338,0.17800077231145678,GADM,MEX.32.24_1
2020-06-24,MEX_gadm_2,23781,Tapachula,Overall,Overall,full_february,DAY_OF_WEEK,-0.2748376539645999,0.33136712924320405,GADM,MEX.5.90_1
2020-06-24,MEX_gadm_2,22493,Huehuetoca,Overall,Overall,full_february,DAY_OF_WEEK,-0.2978597165443882,0.29201025040442996,GADM,MEX.15.37_1
2020-06-24,MEX_gadm_2,22640,Panind-cuaro,Overall,Overall,full_february,DAY_OF_WEEK,-0.12641530059531603,0.22534655727265965,GADM,MEX.16.67_1
2020-06-24,MEX_gadm_2,22662,Taretan,Overall,Overall,full_february,DAY_OF_WEEK,-0.08838250354196316,0.22076782139739973,GADM,MEX.16.87_1
2020-06-24,MEX_gadm_2,22894,Tianguismanalco,Overall,Overall,full_february,DAY_OF_WEEK,-0.25814092414767154,0.23637999906826623,GADM,MEX.21.172_1
2020-06-24,MEX_gadm_2,23405,Vega de Alatorre,Overall,Overall,full_february,DAY_OF_WEEK,-0.21408788685160263,0.2770485687207819,GADM,MEX.30.190_1
2020-06-24,MEX_gadm_2,23879,Sabinas,Overall,Overall,full_february,DAY_OF_WEEK,-0.1594482057973619,0.22843569873685024,GADM,MEX.7.29_1
