polygon_id,polygon_name,code_INEGI,cve_edo
22106,Aguascalientes,1001,1
22153,Asientos,1002,1
22229,Calvillo,1003,1
22314,Cos-o,1004,1
22440,Jes-s Mar-a,1005,1
22562,Pabell-n de Arteaga,1006,1
22676,Rinc-n de Romos,1007,1
22710,San Jos- de Gracia,1008,1
22812,Comond-,3001,3
23026,La Paz,3003,3
23045,Muleg-,3002,3
23508,Ensenada,2001,2
23615,Mexicali,2002,2
23673,Tecate,2003,2
23674,Tijuana,2004,2
23675,Calkin-,4001,4
23676,Campeche,4002,4
23677,Carmen,4003,4
23678,Champot-n,4004,4
23679,Hecelchak-n,4005,4
23680,Hopelch-n,4006,4
23682,Tenabo,4008,4
23705,Acala,7002,7
23716,Acapetahua,7003,7
23749,Amatenango de la Frontera,7006,7
23771,Angel Albino Corzo,7008,7
23782,Arriaga,7009,7
23695,Bella Vista,7011,7
23696,Berrioz-bal,7012,7
23697,Bochil,7013,7
23698,Cacahoat-n,7015,7
23701,Chamula,7023,7
23706,Chiapa de Corzo,7027,7
23709,Chicomuselo,7030,7
23710,Chil-n,7031,7
23711,Cintalapa,7017,7
23713,Comit-n de Dom-nguez,7019,7
23714,Copainal-,7021,7
23718,Escuintla,7032,7
23720,Frontera Comalapa,7034,7
23722,Huehuet-n,7037,7
23725,Huixtla,7040,7
23731,Jiquipilas,7046,7
23733,Ju-rez,7048,7
23734,La Concordia,7020,7
23739,La Trinitaria,7099,7
23741,Las Margaritas,7052,7
23742,Las Rosas,7075,7
23743,Mapastepec,7051,7
23745,Mazat-n,7054,7
23748,Motozintla,7057,7
23751,Ocosingo,7059,7
23753,Ocozocoautla de Espinosa,7061,7
23754,Ostuac-n,7062,7
23757,Palenque,7065,7
23761,Pichucalco,7068,7
23762,Pijijiapan,7069,7
23763,Pueblo Nuevo Solistahuac-n,7072,7
23765,Reforma,7074,7
23767,Salto de Agua,7077,7
23768,San Crist-bal de las Casas,7078,7
23769,San Fernando,7079,7
23772,Siltepec,7080,7
23773,Simojovel,7081,7
23778,Suchiapa,7086,7
23779,Suchiate,7087,7
23781,Tapachula,7089,7
23785,Tecpat-n,7092,7
23787,Teopisca,7094,7
23789,Tonal-,7097,7
23683,Tuxtla Chico,7102,7
23685,Tuxtla Guti-rrez,7101,7
23686,Tuzant-n,7103,7
23687,Tzimol,7104,7
23688,Venustiano Carranza,7106,7
23689,Villa Comaltitl-n,7071,7
23690,Villa Corzo,7107,7
23691,Villaflores,7108,7
23692,Yajal-n,7109,7
23693,Zinacant-n,7111,7
23793,Ahumada,8001,8
23804,Aldama,8002,8
23815,Allende,8003,8
23826,Aquiles Serd-n,8004,8
23837,Ascensi-n,8005,8
23857,Bocoyna,8009,8
23792,Buenaventura,8010,8
23794,Camargo,8011,8
23796,Casas Grandes,8013,8
