Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x )
Ayuntamiento de Los Cabos,ayuntamientodeloscabos,209049169126761,GOVERNMENT_ORGANIZATION,MX,Página Oficial del Municipio de Los Cabos,2011-05-11 17:10:00,58018,63575,2021-08-24 15:55:20 CDT,2021-08-24,15:55:20,Native Video,12,4,0,8,0,0,0,0,0,0,owned,Yes,73,183,0,00:00:25,https://www.facebook.com/209049169126761/posts/4582422868456014,Gracias a nuestras 111 Rutas de Recolección hemos retirado más de 290 mil toneladas de basura. #CiudadanosHaciendoHistoria,https://www.facebook.com/ayuntamientodeloscabos/videos/249078410409323/,,,,,,,,-2.42
Ayuntamiento de Los Cabos,ayuntamientodeloscabos,209049169126761,GOVERNMENT_ORGANIZATION,MX,Página Oficial del Municipio de Los Cabos,2011-05-11 17:10:00,58018,63575,2021-08-24 08:30:29 CDT,2021-08-24,08:30:29,Photo,76,41,0,28,5,0,0,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/209049169126761/posts/4581318141899820,"Hoy es un día muy especial para nuestro municipio, ya que conmemoramos los 300 años de la Fundación de la Misión de Santiago de Los Coras Añiní. ¡Celebremos juntos nuestra historia y nuestro origen! #CiudadanosHaciendoHistoria",https://www.facebook.com/ayuntamientodeloscabos/photos/a.643395415692132/4581318105233157/?type=3,,,,,,,,1.21
Ayuntamiento de Los Cabos,ayuntamientodeloscabos,209049169126761,GOVERNMENT_ORGANIZATION,MX,Página Oficial del Municipio de Los Cabos,2011-05-11 17:10:00,58018,63575,2021-08-23 20:19:16 CDT,2021-08-23,20:19:16,Live Video Complete,34,15,11,5,2,0,0,0,0,1,owned,Yes,312,346,0,01:07:12,https://www.facebook.com/209049169126761/posts/656198212017967,,https://www.facebook.com/ayuntamientodeloscabos/videos/656198212017967/,,,,,,,,-2.91
Ayuntamiento de Los Cabos,ayuntamientodeloscabos,209049169126761,GOVERNMENT_ORGANIZATION,MX,Página Oficial del Municipio de Los Cabos,2011-05-11 17:10:00,58018,63575,2021-08-23 19:20:55 CDT,2021-08-23,19:20:55,Live Video Complete,18,9,5,2,1,0,0,0,0,1,owned,Yes,207,224,0,00:51:51,https://www.facebook.com/209049169126761/posts/964089100805135,,https://www.facebook.com/ayuntamientodeloscabos/videos/964089100805135/,,,,,,,,-5.65
Ayuntamiento de Los Cabos,ayuntamientodeloscabos,209049169126761,GOVERNMENT_ORGANIZATION,MX,Página Oficial del Municipio de Los Cabos,2011-05-11 17:10:00,57961,63514,2021-08-23 19:05:54 CDT,2021-08-23,19:05:54,Live Video Complete,49,15,4,26,3,0,0,0,1,0,owned,Yes,428,642,0,00:05:42,https://www.facebook.com/209049169126761/posts/373575570875658,"Acto inaugural de la Primera Semana de Información Histórica de la Fundación de la Misión de Santiago Añiñí y presentación de Carlos Lascano con la conferencia: Descubrimientos, antecedentes y fundación de la Misión de Santiago. #CiudadanosHaciendoHistoria",https://www.facebook.com/ayuntamientodeloscabos/videos/373575570875658/,,,,,,,,-1.96
Ayuntamiento de Los Cabos,ayuntamientodeloscabos,209049169126761,GOVERNMENT_ORGANIZATION,MX,Página Oficial del Municipio de Los Cabos,2011-05-11 17:10:00,57961,63514,2021-08-23 10:33:29 CDT,2021-08-23,10:33:29,Live Video Complete,71,21,6,37,7,0,0,0,0,0,owned,Yes,805,1203,0,00:16:27,https://www.facebook.com/209049169126761/posts/690657648559010,#EnVivo / 🛑 Nos encontramos en la delegación de Santiago dando inicio a las actividades por el Tricentenario de la Fundación de su Misión. #CiudadanosHaciendoHistoria,https://www.facebook.com/ayuntamientodeloscabos/videos/690657648559010/,,,,,,,,-1.41
Ayuntamiento de Los Cabos,ayuntamientodeloscabos,209049169126761,GOVERNMENT_ORGANIZATION,MX,Página Oficial del Municipio de Los Cabos,2011-05-11 17:10:00,57961,63514,2021-08-23 10:05:35 CDT,2021-08-23,10:05:35,Live Video Complete,49,15,0,30,3,0,0,0,0,1,owned,Yes,626,1466,0,00:04:17,https://www.facebook.com/209049169126761/posts/959968321509580,Inicio de las actividades del Tricentenario de la Fundación de la Misión de Santiago de Los Coras Añiní. Los invitamos a estar pendientes del ciclo de conferencias a través de nuestras redes sociales. #CiudadanosHaciendoHistoria,https://www.facebook.com/ayuntamientodeloscabos/videos/959968321509580/,,,,,,,,-2.08
Ayuntamiento de Los Cabos,ayuntamientodeloscabos,209049169126761,GOVERNMENT_ORGANIZATION,MX,Página Oficial del Municipio de Los Cabos,2011-05-11 17:10:00,57961,63514,2021-08-23 08:57:37 CDT,2021-08-23,08:57:37,Photo,81,52,2,27,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/209049169126761/posts/4578334745531493,"AVISO DE CICLÓN TROPICAL EN EL OCÉANO PACÍFICO, LUNES 23 DE AGOSTO DEL 2021. EMISIÓN 07:15 HORAS. SMN/CONAGUA (FUENTE OFICIAL) ""MARTY"" se localiza a 350 km al sur-suroeste de Cabo San Lucas, BCS, y se desplaza al oeste (280°) a 24 km/h, favoreciendo el potencial de lluvias fuertes a muy fuertes en Baja California Sur además de vientos de 50 a 60 km/h y oleaje de 1 a 2 metros en costas de Baja California Sur. Coordenadas: Latitud Norte:20.1° Longitud Oeste: 111.7° Tome sus precauciones. #ProtecciónCivilSomosTodos DIRECCIÓN MUNICPAL DE PROTECCIÓN CIVIL LOS CABOS ÁREA DE MONITOREO.",https://www.facebook.com/ayuntamientodeloscabos/photos/a.643395415692132/4578334662198168/?type=3,,,,,,,,1.19
Ayuntamiento de Los Cabos,ayuntamientodeloscabos,209049169126761,GOVERNMENT_ORGANIZATION,MX,Página Oficial del Municipio de Los Cabos,2011-05-11 17:10:00,57961,63514,2021-08-22 20:00:00 CDT,2021-08-22,20:00:00,Photo,140,79,5,46,0,10,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/209049169126761/posts/4576730569025244,"AVISO DE CICLÓN TROPICAL EN EL OCÉANO PACÍFICO, DOMINGO 22 DE AGOSTO DEL 2021. EMISIÓN 18:30 HORAS. SMN/CONAGUA (FUENTE OFICIAL). 1. ZONA DE BAJA PRESIÓN SE LOCALIZA FRENTE A LAS COSTAS DE JALISCO. Localizada a 310 km al oeste-suroeste de Cabo Corrientes, Jalisco, se desplaza al oeste a una velocidad de entre 16 a 24 km/h originando en su trayecto lluvias puntuales intensas en Sinaloa, Nayarit, Jalisco, Colima, Michoacán y Guerrero, así como fuertes en Baja California Sur, así como, rachas de viento de 60 a 80 km/h y oleaje de 2 a 3 metros en costas de Nayarit, Jalisco, Colima y Michoacán. Coordenadas: Latitud Norte:19.7° Longitud Oeste: 108.5° Dicha zona mantiene 90% de potencial para desarrollarse como ciclón tropical en las próximas 48 horas. 2. ZONA DE BAJA PRESIÓN AL SUR DE LAS COSTAS DE CHIAPAS A 400 km al sur-suroeste del Río Suchiate, frontera entre México y Guatemala esta zona de baja presión se desplaza al oeste-noroeste a una velocidad de 16 km/h, sobre las coordenadas: Latitud Norte:11.0° Longitud Oeste: 93.2° Aumentando su probabilidad para desarrollo ciclónico al 20% en 48 horas. seguiremos monitoreando. #ProtecciónCivilSomosTodos DIRECCIÓN MUNICIPAL DE PROTECCIÓN CIVIL LOS CABOS ÁREA DE MONITOREO",https://www.facebook.com/ayuntamientodeloscabos/photos/a.643395415692132/4576730502358584/?type=3,,GOES-16 ABI COMPOSITE RGB 22-Aug-2021 23:40:20 UTC (CDMX 18:40 Hrs.) 90% Zona de baja presión,,,,,,2.06
Ayuntamiento de Los Cabos,ayuntamientodeloscabos,209049169126761,GOVERNMENT_ORGANIZATION,MX,Página Oficial del Municipio de Los Cabos,2011-05-11 17:10:00,57847,63389,2021-08-22 14:43:16 CDT,2021-08-22,14:43:16,Photo,281,166,10,97,2,4,0,2,0,0,,-,0,0,0,N/A,https://www.facebook.com/209049169126761/posts/4576135032418131,"AVISO DE CICLÓN TROPICAL EN EL OCÉANO PACÍFICO, DOMINGO 22 DE AGOSTO DEL 2021. 13:15 HORAS SERVICIO METEOROLÓGICO NACIONAL/CONAGUA (FUENTE OFICIAL). ZONA DE BAJA PRESIÓN SE LOCALIZA FRENTE A LAS COSTAS DE JALISCO Localizada a 80 km al oeste de Playa Pérula, Jalisco, se desplaza al oeste a una velocidad de entre 16 a 24 km/h sobre las coordenadas: Latitud Norte:19.5° Longitud Oeste: 106.0° Incrementa a 90% su probabilidad para desarrollo ciclónico en 48 horas, por lo que se mantiene en vigilancia, se recomienda estar preparados y prevenidos por el ingreso de nubosidad a nuestro municipio de los Cabos en el transcurso de hoy y la madrugada ASIMISMO, SE HA GENERADO UNA ZONA DE BAJA PRESIÓN AL SUR DE LAS COSTAS DE CHIAPAS. A una distancia de 325 km al sur-suroeste del Río Suchiate, frontera entre México y Guatemala, se desplaza al oeste-noroeste a una velocidad de entre 16 a 24, presentando 10% de probabilidad para desarrollo ciclónico en 48 horas . Recuerda esta al pendiente de la información brindada por las autoridades de protección civil de tu localidad y a los boletines emitidos vía medios oficiales de comunicación. #ProtecciónCivilSomosTodos",https://www.facebook.com/ayuntamientodeloscabos/photos/a.643395415692132/4576134939084807/?type=3,,,,,,,,4.13
