code_INEGI,nom_ent,nom_mun,type,date,end_date,source1,source2,source_type1,source_type2,nom_ent_upper,nom_mun_upper,missing
1004,Aguascalientes,Cosío,,,,,,,,AGUASCALIENTES,COSIO,1
1008,Aguascalientes,San José de Gracia,,,,,,,,AGUASCALIENTES,SAN JOSE DE GRACIA,1
2006,Baja California,San Quintín,,,,,,,,BAJA CALIFORNIA,SAN QUINTIN,1
3003,Baja California Sur,La Paz,,,,,,,,BAJA CALIFORNIA SUR,LA PAZ,1
3008,Baja California Sur,Los Cabos,,,,,,,,BAJA CALIFORNIA SUR,LOS CABOS,1
3009,Baja California Sur,Loreto,,,,,,,,BAJA CALIFORNIA SUR,LORETO,1
4002,Campeche,Campeche,,,,,,,,CAMPECHE,CAMPECHE,1
4003,Campeche,Carmen,,,,,,,,CAMPECHE,CARMEN,1
4007,Campeche,Palizada,,,,,,,,CAMPECHE,PALIZADA,1
4008,Campeche,Tenabo,,,,,,,,CAMPECHE,TENABO,1
4010,Campeche,Calakmul,,,,,,,,CAMPECHE,CALAKMUL,1
4012,Campeche,Seybaplaya,,,,,,,,CAMPECHE,SEYBAPLAYA,1
4013,Campeche,Dzitbalché,,,,,,,,CAMPECHE,DZITBALCHE,1
5001,Coahuila de Zaragoza,Abasolo,,,,,,,,COAHUILA,ABASOLO,1
5005,Coahuila de Zaragoza,Candela,,,,,,,,COAHUILA,CANDELA,1
5007,Coahuila de Zaragoza,Cuatro Ciénegas,,,,,,,,COAHUILA,CUATRO CIENEGAS,1
5008,Coahuila de Zaragoza,Escobedo,,,,,,,,COAHUILA,ESCOBEDO,1
5011,Coahuila de Zaragoza,General Cepeda,,,,,,,,COAHUILA,GENERAL CEPEDA,1
5012,Coahuila de Zaragoza,Guerrero,,,,,,,,COAHUILA,GUERRERO,1
5013,Coahuila de Zaragoza,Hidalgo,,,,,,,,COAHUILA,HIDALGO,1
5014,Coahuila de Zaragoza,Jiménez,,,,,,,,COAHUILA,JIMENEZ,1
5015,Coahuila de Zaragoza,Juárez,,,,,,,,COAHUILA,JUAREZ,1
5016,Coahuila de Zaragoza,Lamadrid,,,,,,,,COAHUILA,LAMADRID,1
5018,Coahuila de Zaragoza,Monclova,,,,,,,,COAHUILA,MONCLOVA,1
5019,Coahuila de Zaragoza,Morelos,,,,,,,,COAHUILA,MORELOS,1
5021,Coahuila de Zaragoza,Nadadores,,,,,,,,COAHUILA,NADADORES,1
5023,Coahuila de Zaragoza,Ocampo,,,,,,,,COAHUILA,OCAMPO,1
