estado,municipio,id_estado,id_municipio,cve_inegi,nombre,ap_paterno,ap_materno,sexo,partido,integrantes,descripcion,pdo_gob_ini,pdo_gob_fin,direccion,pag_web,cve_lada,telefono
Aguascalientes,Aguascalientes,1,1,1001,MARIA TERESA ,JIMENEZ,ESQUIVEL,M,PAN,,PARTIDO ACCIÓN NACIONAL ,15/10/19,14/10/21,"PRESIDENCIA MUNICIPAL PLAZA DE LA PATRIA Y CALLE COLON S/N, CENTRO AGUASCALIENTES, AGS. C.P. 20000",http://www.ags.gob.mx ,449,9-10-10-10 EXT. 1011; 9-10-10-11; 9-10-10-01
Aguascalientes,Asientos,1,2,1002,JUAN LUIS ,JASSO ,HERNANDEZ,H,MORENA,,MORENA,15/10/19,14/10/21,"PRESIDENCIA MUNICIPAL PLAZA JUAREZ # 3, ZONA CENTRO, ASIENTOS, AGS. C.P. 20710",http://www.asientos.gob.mx,496,9-67-40-15; 9-67-40-56; 9-67-40-15; 9-67-40-29 EXT.
Aguascalientes,Calvillo,1,3,1003,ADAN ,VALDIVIA ,LOPEZ ,H,PAN,,PARTIDO ACCIÓN NACIONAL ,15/10/19,14/10/21,"PRESIDENCIA MUNICIPAL PLAZA PRINCIPAL S/N, CENTRO, CALVILLO, AGS. C.P. 20800",http://,495,9-56-00-39; 9-56-00-75; EXT. 5036
Aguascalientes,Cosío,1,4,1004,EUSEBIO ENRIQUE ,DELGADO ,ESPARZA,H,PVEM,,PARTIDO VERDE ECOLOGISTA DE MÉXICO ,15/10/19,14/10/21,"PRESIDENCIA MUNICIPAL PLAZA JUAREZ S/N, ZONA CENTRO, COSIO, AGS. C.P. 20460",http://,458,9-87-09-40; 9-87-13-42 EXT. 1
Aguascalientes,Jesús María,1,5,1005,JOSE ANTONIO,ARAMBULA ,LOPEZ,H,PAN,,PARTIDO ACCIÓN NACIONAL ,15/10/19,14/10/21,"PRESIDENCIA MUNICIPAL EMILIANO ZAPATA # 109, CENTRO, JESUS MARIA, AGS. C.P. 20900",http://www.jesusmaria.gob.mx,449,"9-65-00-88 EXT. 1039, 1055"
Aguascalientes,Pabellón de Arteaga,1,6,1006,CUAUHTEMOC ,ESCOBEDO ,TEJADA ,H,PRD,,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,15/10/19,14/10/21,"PRESIDENCIA MUNICIPAL CALLE PINO SUAREZ # 14, ZONA CENTRO, PABELLON DE ARTEAGA, AGS. C.P. 20660",http://www.municipiopabellonags.gob.mx,465,9-58-01-16 EXT. 2
Aguascalientes,Rincón de Romos,1,7,1007,J. JESUS ,PRIETO ,DIAZ ,H,PAN,,PARTIDO ACCIÓN NACIONAL ,15/10/19,14/10/21,"PRESIDENCIA MUNICIPAL CALLE HIDALGO # 20, ZONA CENTRO, RINCON DE ROMOS, AGS. C.P. 20408",http://www.rinconderomos.gob.mx,465,9-51-04-13; 9-51-04-03
Aguascalientes,San José de Gracia,1,8,1008,MARIA CRISTINA ,LOPEZ ,GONZALEZ,M,PAN,,PARTIDO ACCIÓN NACIONAL ,15/10/19,14/10/21,"PRESIDENCIA MUNICIPAL JUAN DOMINGUEZ # 101, CENTRO, SAN JOSE DE GRACIA, AGS. C.P. 20576",http://,465,9-67-50-92; 9-67-35-32
Aguascalientes,Tepezalá,1,9,1009,OMAR ISRAEL ,CAMARILLO ,,H,PVEM,,PARTIDO VERDE ECOLOGISTA DE MÉXICO ,15/10/19,14/10/21,"PRESIDENCIA MUNICIPAL JUAREZ # 1, ZONA CENTRO, TEPEZALA, AGS. C.P. 20602",http://www.tepezala.gob.mx,465,9-51-20-29; 9-51-11-10 EXT.102
Aguascalientes,El Llano,1,10,1010,CEZAR,PEDROZA ,ORTEGA,H,PT,,PARTIDO DEL TRABAJO ,15/10/19,14/10/21,"PRESIDENCIA MUNCIPAL 20 DE NOV. # 103, ZONA CENTRO, EL LLANO, AGS. C.P. 20330",http://www.municipiodeelllano.gob.mx/,496,9-67-35-87
