entidad_name,username_twitter,name_twitter,biography,website,twitter_salud,name_twitter_salud,biography_salud,website_salud
aguascalientes,GobAgs,Gobierno del estado,Twitter oficial del Gobierno del Estado de Aguascalientes .:. Official twitter account of the Aguascalientes State Government,aguascalientes.gob.mx,no account,no account,no account,no account
baja california,BCGOBIERNO,Gobierno del Estado de Baja California,Gobierno del Estado de Baja California,bajacalifornia.gob.mx,BC_SSALUD,Secretaría de Salud de Baja California,"Instituto de Servicios de Salud Pública del Estado de Baja California, México.",saludbc.gob.mx
baja california sur,GobBCS,Gobierno de BCS,"Somos un gobierno cercano y transparente, que trabaja en el bienestar y seguridad de los habitantes de Baja California Sur y construye con ellos un Mejor Futuro",bajacalifornia.gob.mx,no account,no account,no account,no account
campeche,no account found,no account found,no account found,no account found,SaludCampeche,Salud Campeche,Cuenta oficial de la Secretaría de Salud del Gobierno del Estado de Campeche,
chiapas,GobiernoChiapas,Gobierno de Chiapas,,,SSaludChiapas,Salud Chiapas Oficial,Twitter oficial de la Secretaría de Salud del Gobierno de Chiapas,salud.chiapas.gob.mx
chihuahua,ChihuahuaGobEdo,Gobierno Chihuahua,,,no account found,no account found,no account found,no account found
ciudad de méxico,GobCDMX,Gobierno CDMX,Gobierno de la Ciudad de México,,SSaludCdMx,Secretaría de Salud de la Ciudad de México,"#
SaludEnTuVida
#
SaludEnTusManos",salud.cdmx.gob.mx
coahuila,GobDeCoahuila,Gobierno de Coahuila,Cuenta oficial del Gobierno del Estado de Coahuila de Zaragoza,coahuila.gob.mx,SS_Coahuila,Secretaría de Salud,Gobierno del Estado de Coahuila,
colima,gobiernocolima,Gobierno Colima,Twitter oficial del Gobierno del Estado de Colima.,col.gob.mx,ColimaHRU,Enseñanza HRU,"Unidad de Enseñanza, Capacitación e Investigación, del Hospital Regional Universitario de la Secretaria de Salud del Estado de Colima.",
durango,gobdgo,GobDgo,Twitter Oficial del Gobierno del Estado de Durango,durango.gob.mx,SSDurango,Secretaría de Salud,"Política de Calidad: Otorgar servicios integrales de salud: prevención, diagnóstico temprano, tratamiento oportuno. Comprometidos con la mejora continua.",salud.durango.gob.mx
guanajuato,gobiernogto,#GTOQuédateEnCasa,Gobierno del Estado de Guanajuato #EsoEsGrandeza. Para Información oficial sobre el #CoronaVirus en #GTO visita https://coronavirus.guanajuato.gob.mx,guanajuato.gob.mx,SaludGuanajuato,Secretaría de Salud,"Organismo encargado de prestar servicios de salud a la población del estado de Guanajuato.
#
GTO
#
GrandezaDeMéxico Aviso de Privacidad: http://bit.ly/2SwAO3f",salud.guanajuato.gob.mx
guerrero,GroGob,Gobierno Guerrero,,,no account,no account,no account,no account
hidalgo,gobiernohidalgo,Gobierno de Hidalgo,"Gobierno del Estado de Hidalgo.
#
HidalgoCreceContigo https://www.facebook.com/gobhidalgo/",hidalgo.gob.mx,no account found,no account found,no account found,no account found
jalisco,GobiernoJalisco,Gobierno de Jalisco,Gobierno de Jalisco 2018-2024. Aquí podrás conocer todo lo relacionado con nuestro estado.,jalisco.gob.mx,saludjalisco,Secretaría de Salud Jalisco,"Nos encargamos de la salud en Jalisco, coordinamos los programas de promoción, prevención, fomento, regulación sanitaria y de servicios de salud a las personas.",ssj.jalisco.gob.mx
estado de méxico,Edomex,Gobierno Edoméx,Gobierno del Estado de México,edomex.gob.mx,SaludEdomex,Salud Edoméx,Secretaría e Instituto de Salud del ,salud.edomex.gob.mx
