parameter,newspaper,title,date,date_policy,search_,type_newspaper,nivel,entidad,name_entidad,measure,municipio_name,municipio,end_date,state_date_first,note
actividades no esenciales coronavirus, https://azdiario.mx/?p=94373, A partir demañana Hoy No Circula obligatorio en Edomex, 2020-04-22T15:38:38, 2020-04-23,1, wordpress,estatal,,estado de mexico,no circula,,,,,
actividades no esenciales coronavirus, https://azdiario.mx/?p=94192, AMPLIAN PERIODO DE VERIFICACIÓN VEHICULAR EN CDMX POR CORONAVIRUS, 2020-04-21T14:39:28,,1, wordpress,estatal,,cdmx,extensión periodo de verificacion ,,,,,
actividades no esenciales coronavirus, https://azdiario.mx/?p=93415, ELECCIONES DE COAHUILA E HIDALGO SUSPENDIDAS POR CORONAVIRUS, 2020-04-02T16:17:59,,1, wordpress,estatal,,coahuila,se pospone elecciones locales,,,,,
actividades no esenciales coronavirus, https://azdiario.mx/?p=93415, ELECCIONES DE COAHUILA E HIDALGO SUSPENDIDAS POR CORONAVIRUS, 2020-04-02T16:17:59,,1, wordpress,estatal,,hidalgo,se pospone elecciones locales,,,,,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=787225, Lanzan iniciativa ‘Mi Tienda Segura’ para ayudar a pequeños comercios, 2020-05-12T18:40:47, 2020-05-12,1, wordpress,estatal,,queretaro,"iniciativa ""Mi tienda Segura: apoyo a pequeños comercios",,, 2020-07-31, 2020-05-12,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=786890, Querétaro apoyará con más de 400 mil pesos a organizaciones civiles, 2020-05-11T21:52:32,,1, wordpress,estatal,,queretaro,apoyo economico organizaciones civiles,,,,,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=785995, Medidas en San Juan del Río contienen al COVID-19, 2020-05-07,,1, wordpress,municipal,,queretaro,cancelacion eventos masivos,san juan del rio,,, 2020-04-11,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=785995, Medidas en San Juan del Río contienen al COVID-19, 2020-05-07T14:41:20,,1, wordpress,municipal,,queretaro,sanitizacion de eficios publicos municipales y hospitales,san juan del rio,,, 2020-04-11, 
actividades no esenciales coronavirus, https://amqueretaro.com/?p=785995, Medidas en San Juan del Río contienen al COVID-19, 2020-05-07T14:41:20,,1, wordpress,municipal,,queretaro,apoyo alimentario,san juan del rio,,, 2020-04-11,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=785995, Medidas en San Juan del Río contienen al COVID-19, 2020-05-07T14:41:20,,1, wordpress,municipal,,queretaro,entrega gel antibacterial a casas,san juan del rio,,, 2020-04-11,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=785995, Medidas en San Juan del Río contienen al COVID-19, 2020-05-07T14:41:20,,1, wordpress,municipal,,queretaro,creacion comité municipal emergente,san juan del rio,,, 2020-04-11,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=785995, Medidas en San Juan del Río contienen al COVID-19, 2020-05-07T14:41:20,,1, wordpress,municipal,,queretaro,entrega material seguridad sanitaria a hospitales y unidades medicas,san juan del rio,,, 2020-04-11,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=785995, Medidas en San Juan del Río contienen al COVID-19, 2020-05-07T14:41:20,,1, wordpress,municipal,,queretaro,suspensión de actividades deportivas,san juan del rio,,, 2020-04-11,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=784892, Anuncia el gobernador medidas extraordinarias para mitigar efectos de COVID-19, 2020-05-02T14:39:12,,1, wordpress,estatal,,queretaro,verificacion sanitaria,,,,,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=784892, Anuncia el gobernador medidas extraordinarias para mitigar efectos de COVID-19, 2020-05-02T14:39:12,,1, wordpress,estatal,,queretaro,dos apsajeros máximo en coche,,,,,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=784892, Anuncia el gobernador medidas extraordinarias para mitigar efectos de COVID-19, 2020-05-02T14:39:12,,1, wordpress,estatal,,queretaro,uso de cubrebocas obligatorio a conductores de tranporte publico,,,,,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=784892, Anuncia el gobernador medidas extraordinarias para mitigar efectos de COVID-19, 2020-05-02T14:39:12,,1, wordpress,estatal,,queretaro,uso de cubrebocas obligatorio en espacios publicos,,,,,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=783762, Aplicarán decomisos en tianguis por Fase 3; reforzarán prevención, 2020-04-28T04:00:43,,1, wordpress,municipal,,queretaro,decomiso de mercacia de tianguistas que ofreen productos no esenciales,queretaro,,,,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=783762, Aplicarán decomisos en tianguis por Fase 3; reforzarán prevención, 2020-04-28T04:00:43,,1, wordpress,municipal,,queretaro,operativos para eforzar medidas preventivas en tianguis,queretaro,,,,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=783762, Aplicarán decomisos en tianguis por Fase 3; reforzarán prevención, 2020-04-28T04:00:43,,1, wordpress,municipal,,queretaro,operativos para eforzar medidas preventivas en tianguis,corregidora,,,,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=783762, Aplicarán decomisos en tianguis por Fase 3; reforzarán prevención, 2020-04-28T04:00:43,,1, wordpress,municipal,,queretaro,operativos para eforzar medidas preventivas en tianguis,el marqués,,,,
actividades no esenciales coronavirus, https://amqueretaro.com/?p=783762, Aplicarán decomisos en tianguis por Fase 3; reforzarán prevención, 2020-04-28T04:00:43,,1, wordpress,municipal,,queretaro,operativos para eforzar medidas preventivas en tianguis,ezequiel montes,,,,
