,parameter,newspaper,title,date,date_policy,search_,type_newspaper
0,escuelas coronavirus, https://www.lja.mx/?p=327795, Aguascalientes debe aclarar cómo gastó 2 mil 309 mdp, 2020-05-18T00:02:50,,                          lja.mx-?p=327795, wordpress
1,escuelas coronavirus, https://www.lja.mx/?p=327829, Salir de la crisis por COVID-19 con perspectiva de género, 2020-05-18T00:02:26,,                          lja.mx-?p=327829, wordpress
2,escuelas coronavirus, https://www.lja.mx/?p=327452, La salida/ Opciones y decisiones , 2020-05-15T00:01:33,,                          lja.mx-?p=327452, wordpress
3,escuelas coronavirus, https://www.lja.mx/?p=327324, El regreso a la Nueva Normalidad post COVID-19, 2020-05-14T00:02:54,,1, wordpress
4,escuelas coronavirus, https://www.lja.mx/?p=327456, La pandemia que nos mostró la importancia de ser maestro , 2020-05-14T00:01:16,,                          lja.mx-?p=327456, wordpress
5,escuelas coronavirus, https://www.lja.mx/?p=327220, Efectos sicológicos del confinamiento en la niñez dependen del hogar, 2020-05-13T00:02:29,,                          lja.mx-?p=327220, wordpress
6,escuelas coronavirus, https://www.lja.mx/?p=327263, La Purísima… Grilla:  Desconfinamiento, 2020-05-13T00:01:21,,                          lja.mx-?p=327263, wordpress
7,escuelas coronavirus, https://www.lja.mx/?p=327100, Tras crisis sanitaria por COVID-19 vendrá la económica para el mundo y el país, 2020-05-12T00:02:03,,                          lja.mx-?p=327100, wordpress
8,escuelas coronavirus, https://www.lja.mx/?p=326579, En Aguascalientes alumnos vulnerables a Covid-19 podrán faltar a clases físicas para no arriesgar su salud, 2020-05-08T00:02:46,,                          lja.mx-?p=326579, wordpress
9,escuelas coronavirus, https://www.lja.mx/?p=326103, Reuniones virtuales de organización en el IEA de la tercera etapa de aislamiento productivo, 2020-05-05T00:00:12,,                          lja.mx-?p=326103, wordpress
10,escuelas coronavirus, https://www.lja.mx/?p=325642, Las compras inútiles de Felipe Calderón con la influenza: Millones se hicieron polvo, 2020-05-01T00:02:12,,                          lja.mx-?p=325642, wordpress
11,escuelas coronavirus, https://www.lja.mx/?p=325527, Unidades de transporte colectivo foráneo sólo permiten que nueve personas por viaje en Aguascalientes, 2020-04-30T00:00:01,,                          lja.mx-?p=325527, wordpress
12,escuelas coronavirus, https://www.lja.mx/?p=323868, Desde Aguascalientes confirma IEA que el regreso físico a clases como mínimo será al 17 de mayo a causa de pandemia por COVID-19, 2020-04-20T00:02:29,,                          lja.mx-?p=323868, wordpress
13,escuelas coronavirus, https://www.lja.mx/?p=323589, Desigualdades educativas , 2020-04-17T00:01:18,,                          lja.mx-?p=323589, wordpress
14,escuelas coronavirus, https://www.lja.mx/?p=323375, Presentan lineamientos para atención de embarazadas y recién nacidos, 2020-04-15T00:02:10,,                          lja.mx-?p=323375, wordpress
15,escuelas coronavirus, https://www.lja.mx/?p=323388, Instala UNAM plataforma de información geográfica sobre Covid-19 en México   , 2020-04-15T00:00:30,,                          lja.mx-?p=323388, wordpress
16,escuelas coronavirus, https://www.lja.mx/?p=323379, La pandemia de coronavirus es 10 veces más mortal que la de gripe H1N1 en 2009, 2020-04-15T00:00:09,,                          lja.mx-?p=323379, wordpress
17,escuelas coronavirus, https://www.lja.mx/?p=322156, El sexo durante el coronavirus tiene sus variantes, 2020-04-07T00:02:16,,                          lja.mx-?p=322156, wordpress
18,escuelas coronavirus, https://www.lja.mx/?p=321578, La comunidad artística nos dice: ¡quédate en casa! (parte I) / La escena , 2020-04-03T00:01:41,,                          lja.mx-?p=321578, wordpress
19,escuelas coronavirus, https://www.lja.mx/?p=321516, Padres de familia pueden consultar calificaciones en línea , 2020-04-02T00:00:40,,                          lja.mx-?p=321516, wordpress
20,escuelas coronavirus, https://www.lja.mx/?p=321139, La guerra de Italia contra el Covid-19, 2020-03-31T00:02:21,,                          lja.mx-?p=321139, wordpress
21,escuelas coronavirus, https://www.lja.mx/?p=320933, Change.org aloja miles de reclamos por coronavirus, 2020-03-30T00:02:41,,                          lja.mx-?p=320933, wordpress
22,escuelas coronavirus, https://www.lja.mx/?p=320794, Servicio de transporte urbano de Aguascalientes se reducirá hasta el 30%, 2020-03-28T00:00:12,,1, wordpress
23,escuelas coronavirus, https://www.lja.mx/?p=320476, Sin política de género ante Covid-19 se profundiza desigualdad de género, 2020-03-26T00:00:10,,                          lja.mx-?p=320476, wordpress
24,escuelas coronavirus, https://www.lja.mx/?p=320327, Anuncia Gobierno Federal inicio de Fase 2 de la epidemia de Covid-19, 2020-03-25T00:02:31,,1, wordpress
25,escuelas coronavirus, https://www.lja.mx/?p=320404, México ha sido totalmente coherente con el llamado del Director General de la OMS, 2020-03-25T00:02:21,,                          lja.mx-?p=320404, wordpress
