,parameter,newspaper,title,date,search_,type_newspaper
179,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177315, Brote de coronavirus en Brasil empeora y pronto podría ser el segundo país con más casos, 2020-05-20T19:09:56,                          capitalcoahuila.com.mx-?p=177315, wordpress
180,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177303, Utilidad neta de colombiano Grupo Aval cae 82% en primer trimestre, 2020-05-20T17:39:56,                          capitalcoahuila.com.mx-?p=177303, wordpress
181,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177301, Destacado científico EEUU dice que no contaría con tener una vacuna contra el coronavirus pronto, 2020-05-20T17:09:58,                          capitalcoahuila.com.mx-?p=177301, wordpress
182,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177271, Artistas callejeros anhelan pronto retorno de turistas a La Habana, 2020-05-20T14:54:59,                          capitalcoahuila.com.mx-?p=177271, wordpress
183,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177267, Policía colombiana usa drones para detectar personas con alta temperatura en medio brote COVID-19, 2020-05-20T14:40:02,                          capitalcoahuila.com.mx-?p=177267, wordpress
184,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177261, Ciudad de México seguirá en confinamiento riguroso al menos hasta el 15 de junio, 2020-05-20T14:39:58,                          capitalcoahuila.com.mx-?p=177261, wordpress
185,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177259, Oro sube por ola de estímulos dudas sobre posible vacuna coronavirus, 2020-05-20T14:24:54,                          capitalcoahuila.com.mx-?p=177259, wordpress
186,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177200, JetBlue y United Airlines toman más acciones para contener propagación de virus, 2020-05-20T10:54:53,                          capitalcoahuila.com.mx-?p=177200, wordpress
187,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177194, Wall St sube mientras inversores aguardan recuperación; Nasdaq toca máximo 3 meses, 2020-05-20T10:39:56,                          capitalcoahuila.com.mx-?p=177194, wordpress
188,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177188, Bukele decreta nueva cuarentena por coronavirus ahonda choque con Congreso y Corte, 2020-05-20T10:09:55,                          capitalcoahuila.com.mx-?p=177188, wordpress
189,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177184, Algunos futbolistas en Latinoamérica y África dependen de cajas de alimentos: FIFPRO, 2020-05-20T09:54:55,                          capitalcoahuila.com.mx-?p=177184, wordpress
190,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177182, Sindicatos acusan a Ryanair de exagerar amenaza de COVID-19 para debilitar condiciones, 2020-05-20T09:54:54,                          capitalcoahuila.com.mx-?p=177182, wordpress
191,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177180, Mercado crudo está respondiendo bien a medidas OPEP+: Barkindo, 2020-05-20T09:39:56,                          capitalcoahuila.com.mx-?p=177180, wordpress
192,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177150, España se dispone a ampliar el estado de alarma a junio en un clima de descontento creciente, 2020-05-20T07:54:57,                          capitalcoahuila.com.mx-?p=177150, wordpress
193,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177132, A FONDO-&#8220;Echo de menos bailar&#8221;: los ancianos surcoreanos lamentan la pérdida de espacio recreativo, 2020-05-20T05:54:54,                          capitalcoahuila.com.mx-?p=177132, wordpress
194,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177122, Australia reabre la vida pública mientras continúa la refriega con China, 2020-05-20T04:24:57,                          capitalcoahuila.com.mx-?p=177122, wordpress
195,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177120, La Liga revisará las imágenes de vídeo si un jugador da positivo por el virus, 2020-05-20T04:24:55,                          capitalcoahuila.com.mx-?p=177120, wordpress
196,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177114, España impone el uso obligatorio de mascarillas en espacios públicos, 2020-05-20T03:24:56,                          capitalcoahuila.com.mx-?p=177114, wordpress
197,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177100, Costa Rica se convierte en primera liga de fútbol de Latinoamérica en reanudarse, 2020-05-19T21:09:59,                          capitalcoahuila.com.mx-?p=177100, wordpress
198,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177096, Colombia extiende hasta el 31 de mayo cuarentena por pandemia de coronavirus, 2020-05-19T20:09:58,                          capitalcoahuila.com.mx-?p=177096, wordpress
199,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177062, PETRÓLEO-Crudo WTI se fortalece gracias a continuas medidas de estímulo, 2020-05-19T16:24:56,                          capitalcoahuila.com.mx-?p=177062, wordpress
200,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177052, Ecuador anuncia bandas de precios a combustible y más recorte de gasto público, 2020-05-19T15:24:58,                          capitalcoahuila.com.mx-?p=177052, wordpress
201,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177034, Colegios cafés y museos de los Países Bajos reabrirán en junio, 2020-05-19T14:09:53,                          capitalcoahuila.com.mx-?p=177034, wordpress
202,medidas coronavirus, https://www.capitalcoahuila.com.mx/?p=177028, Tasa desempleo EEUU podría mantenerse en dos dígitos hacia finales año: Rosengren, 2020-05-19T13:54:55,                          capitalcoahuila.com.mx-?p=177028, wordpress
