parameter,newspaper,title,date,date_policy,search_,type_newspaper
protocolo seguridad coronavirus, https://azdiario.mx/?p=95953, Tabasco: Gobernador les dice “irresponsables” a quienes rompan confinamiento, 2020-05-14T16:15:06,,                          azdiario.mx-?p=95953, wordpress
protocolo seguridad coronavirus, https://azdiario.mx/?p=95889, DEL TAMPICO MADERO PRIMER FUTBOLISTA EN MÉXICO QUE DA POSITIVO A COVID-19, 2020-05-13T14:30:35,,                          azdiario.mx-?p=95889, wordpress
protocolo seguridad coronavirus, https://azdiario.mx/?p=95802, Guanajuato: Detectan interno del Cereso de León con coronavirus, 2020-05-12T17:39:35,,                          azdiario.mx-?p=95802, wordpress
protocolo seguridad coronavirus, https://azdiario.mx/?p=95790, Hidalgo: Advierten posible colapso de red hospitalaria, 2020-05-12T17:28:56,,                          azdiario.mx-?p=95790, wordpress
protocolo seguridad coronavirus, https://azdiario.mx/?p=95658, LA LIGA ESPAÑOLA CONFIRMÓ CINCO FUTBOLISTAS POSITIVOS POR CORONAVIRUS, 2020-05-11T14:32:15,,                          azdiario.mx-?p=95658, wordpress
protocolo seguridad coronavirus, https://azdiario.mx/?p=95517, Sonora: Largas filas para comprar cerveza, 2020-05-07T03:00:49,,                          azdiario.mx-?p=95517, wordpress
protocolo seguridad coronavirus, https://azdiario.mx/?p=95051, Edomex: Dan de alta a 23 presos diagnosticados con Covid-19, 2020-04-30T17:55:57,,                          azdiario.mx-?p=95051, wordpress
protocolo seguridad coronavirus, https://azdiario.mx/?p=94315, CLUBES DE ITALIA NECESITAN COMPLETAR A COMO DÉ LUGAR LA TEMPORADA 2019-2020, 2020-04-22T14:02:36,,                          azdiario.mx-?p=94315, wordpress
protocolo seguridad coronavirus, https://azdiario.mx/?p=93479, El personal sanitario de México empieza a protestar por las carencias de recursos y personal, 2020-04-03T19:03:51,,                          azdiario.mx-?p=93479, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=788799, ¿Qué es la regla del 10-4 propuesta para reabrir la economía?, 2020-05-19T07:28:05,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=788672, Establecen convenio con “Intedya” para Certificado COVID PROTOCOLO, 2020-05-18T16:56:36,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=787716, Intensifican bloqueo de calles para aminorar la movilización, 2020-05-17T04:55:38,,1, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=788258, ¿Qué acordaron &#8216;Pancho&#8217; y sectores para reapertura económica?, 2020-05-16T01:26:58,,                          amqueretaro.com-?p=788258, wordpress
protocolo seguridad coronavirus, https://amqueretaro.com/?p=787717, Gobierno federal propone a población una ‘nueva normalidad’, 2020-05-14T05:00:15,,1, wordpress
