,parameter,newspaper,title,date,search_,type_newspaper
0,actividades no esenciales coronavirus, https://azdiario.mx/?p=96197, BC: Suman 519 muertos por Covid-19; 432 eran empleados de maquilas, 2020-05-16T20:15:29,                          azdiario.mx-?p=96197, wordpress
1,actividades no esenciales coronavirus, https://azdiario.mx/?p=95916, AMLO PRESENTÓ EL PLAN DE REGRESO A LA NUEVA NORMALIDAD EN MÉXICO, 2020-05-13T15:22:36,                          azdiario.mx-?p=95916, wordpress
2,actividades no esenciales coronavirus, https://azdiario.mx/?p=95823, Cuitláhuac García se reúne con Segob para tratar la  reactivación social y económica, 2020-05-13T00:15:20,                          azdiario.mx-?p=95823, wordpress
3,actividades no esenciales coronavirus, https://azdiario.mx/?p=95811, Jalisco: Regreso a clases presenciales en agosto, 2020-05-12T17:48:11,                          azdiario.mx-?p=95811, wordpress
4,actividades no esenciales coronavirus, https://azdiario.mx/?p=95517, Sonora: Largas filas para comprar cerveza, 2020-05-07T03:00:49,                          azdiario.mx-?p=95517, wordpress
5,actividades no esenciales coronavirus, https://azdiario.mx/?p=95444, LÓPEZ-GATELL: &#8216;SEGUNDA OLEADA DE COVID-19 LLEGARÍA EN OCTUBRE&#8217;, 2020-05-06T16:21:33,                          azdiario.mx-?p=95444, wordpress
6,actividades no esenciales coronavirus, https://azdiario.mx/?p=95054, BC: Obreros de maquiladoras denuncian simulación en cierre, 2020-04-30T17:58:36,                          azdiario.mx-?p=95054, wordpress
7,actividades no esenciales coronavirus, https://azdiario.mx/?p=94788, Nueva Zelanda gana batalla contra el Covid-19, 2020-04-28T16:29:15,                          azdiario.mx-?p=94788, wordpress
8,actividades no esenciales coronavirus, https://azdiario.mx/?p=94625, Baja California: Aún están operando 68% de empresas, 2020-04-24T17:22:28,                          azdiario.mx-?p=94625, wordpress
9,actividades no esenciales coronavirus, https://azdiario.mx/?p=94373, A partir demañana Hoy No Circula obligatorio en Edomex, 2020-04-22T15:38:38,                          azdiario.mx-?p=94373, wordpress
10,actividades no esenciales coronavirus, https://azdiario.mx/?p=94192, AMPLIAN PERIODO DE VERIFICACIÓN VEHICULAR EN CDMX POR CORONAVIRUS, 2020-04-21T14:39:28,                          azdiario.mx-?p=94192, wordpress
11,actividades no esenciales coronavirus, https://azdiario.mx/?p=93969, DISTANCIAMIENTO SOCIAL HASTA EL 30 DE MAYO POR CORONAVIRUS, 2020-04-16T17:12:22,                          azdiario.mx-?p=93969, wordpress
12,actividades no esenciales coronavirus, https://azdiario.mx/?p=93846, 5 MIL 14 INFECTADOS DE CORONAVIRUS; 332 MUERTES, 2020-04-14T02:27:47,                          azdiario.mx-?p=93846, wordpress
13,actividades no esenciales coronavirus, https://azdiario.mx/?p=93807, 4 MIL 661 INFECTADOS DE CORONAVIRUS; 296 MUERTES, 2020-04-13T16:49:29,                          azdiario.mx-?p=93807, wordpress
14,actividades no esenciales coronavirus, https://azdiario.mx/?p=93788, 3 MIL 441 INFECTADOS DE CORONAVIRUS; MUERTES SUBEN A 194, 2020-04-10T15:57:10,                          azdiario.mx-?p=93788, wordpress
15,actividades no esenciales coronavirus, https://azdiario.mx/?p=93741, 3 MIL 181 INFECTADOS POR CORONAVIRUS; MUERTOS SUBEN A 174, 2020-04-09T17:25:36,                          azdiario.mx-?p=93741, wordpress
16,actividades no esenciales coronavirus, https://azdiario.mx/?p=93723, LEÓN REGRESARÁ A LOS ENTRENAMIENTOS LA PRÓXIMA SEMANA: ÁNGEL MENA, 2020-04-09T16:52:52,                          azdiario.mx-?p=93723, wordpress
17,actividades no esenciales coronavirus, https://azdiario.mx/?p=93553, Cemex detiene su producción en México por coronavirus, 2020-04-07T04:02:33,                          azdiario.mx-?p=93553, wordpress
18,actividades no esenciales coronavirus, https://azdiario.mx/?p=93464, 1510 INFECTADOS Y 50 MUERTOS, 2020-04-03T17:48:34,                          azdiario.mx-?p=93464, wordpress
19,actividades no esenciales coronavirus, https://azdiario.mx/?p=93415, ELECCIONES DE COAHUILA E HIDALGO SUSPENDIDAS POR CORONAVIRUS, 2020-04-02T16:17:59,                          azdiario.mx-?p=93415, wordpress
20,actividades no esenciales coronavirus, https://amqueretaro.com/?p=788681, Estos son los municipios que reanudaron sus actividades, 2020-05-18T17:47:51,                          amqueretaro.com-?p=788681, wordpress
21,actividades no esenciales coronavirus, https://amqueretaro.com/?p=788453, Querétaro acumula 50 muertes por coronavirus hoy se sumaron seis, 2020-05-18T00:18:21,                          amqueretaro.com-?p=788453, wordpress
22,actividades no esenciales coronavirus, https://amqueretaro.com/?p=788425, México supera las 5 mil cien muertes por coronavirus, 2020-05-17T21:23:17,                          amqueretaro.com-?p=788425, wordpress
23,actividades no esenciales coronavirus, https://amqueretaro.com/?p=787716, Intensifican bloqueo de calles para aminorar la movilización, 2020-05-17T04:55:38,                          amqueretaro.com-?p=787716, wordpress
24,actividades no esenciales coronavirus, https://amqueretaro.com/?p=788351, ¡Quédate en casa! Se suman 45 casos de COVID-19 en Querétaro, 2020-05-17T00:18:03,                          amqueretaro.com-?p=788351, wordpress
25,actividades no esenciales coronavirus, https://amqueretaro.com/?p=788325, Hugo López Gatell reitera la importancia de no abrir bares ni restaurantes, 2020-05-16T21:09:14,                          amqueretaro.com-?p=788325, wordpress
26,actividades no esenciales coronavirus, https://amqueretaro.com/?p=788258, ¿Qué acordaron &#8216;Pancho&#8217; y sectores para reapertura económica?, 2020-05-16T01:26:58,                          amqueretaro.com-?p=788258, wordpress
27,actividades no esenciales coronavirus, https://amqueretaro.com/?p=788218, México supera a China en decesos por coronavirus, 2020-05-15T19:34:46,                          amqueretaro.com-?p=788218, wordpress
28,actividades no esenciales coronavirus, https://amqueretaro.com/?p=788203, Así son los planes de la UNAM y CDMX contra la Covid-19, 2020-05-15T18:26:45,                          amqueretaro.com-?p=788203, wordpress
29,actividades no esenciales coronavirus, https://amqueretaro.com/?p=787717, Gobierno federal propone a población una ‘nueva normalidad’, 2020-05-14T05:00:15,                          amqueretaro.com-?p=787717, wordpress
30,actividades no esenciales coronavirus, https://amqueretaro.com/?p=787411, Así funciona el semáforo de reinicio de actividades, 2020-05-13T10:07:56,                          amqueretaro.com-?p=787411, wordpress
31,actividades no esenciales coronavirus, https://amqueretaro.com/?p=787262, Esto propone diputado de Morena para apoyar a locatarios queretanos, 2020-05-12T21:37:06,                          amqueretaro.com-?p=787262, wordpress
32,actividades no esenciales coronavirus, https://amqueretaro.com/?p=787247, Con este método se definirá reinicio de actividades en desconfinamiento, 2020-05-12T20:20:04,                          amqueretaro.com-?p=787247, wordpress
33,actividades no esenciales coronavirus, https://amqueretaro.com/?p=787225, Lanzan iniciativa ‘Mi Tienda Segura’ para ayudar a pequeños comercios, 2020-05-12T18:40:47,                          amqueretaro.com-?p=787225, wordpress
34,actividades no esenciales coronavirus, https://amqueretaro.com/?p=786876, Prevén impacto negativo en remesas; alistan iniciativas ante disminución, 2020-05-12T05:00:20,                          amqueretaro.com-?p=786876, wordpress
35,actividades no esenciales coronavirus, https://amqueretaro.com/?p=786897, Capital chilena tiene ocupado 85 por ciento del cuidado intensivo, 2020-05-12T05:00:14,                          amqueretaro.com-?p=786897, wordpress
36,actividades no esenciales coronavirus, https://amqueretaro.com/?p=786925, Identifican posibles casos de COVID-19 en filtros sanitarios, 2020-05-12T05:00:01,                          amqueretaro.com-?p=786925, wordpress
37,actividades no esenciales coronavirus, https://amqueretaro.com/?p=786890, Querétaro apoyará con más de 400 mil pesos a organizaciones civiles, 2020-05-11T21:52:32,                          amqueretaro.com-?p=786890, wordpress
38,actividades no esenciales coronavirus, https://amqueretaro.com/?p=786844, En plena Fase 3 Elektra finalmente cerrará sus tiendas, 2020-05-11T18:49:38,                          amqueretaro.com-?p=786844, wordpress
39,actividades no esenciales coronavirus, https://amqueretaro.com/?p=786815, En el primer día de &#8216;normalidad&#8217; en París hay largas filas en tiendas Zara, 2020-05-11T17:58:15,                          amqueretaro.com-?p=786815, wordpress
40,actividades no esenciales coronavirus, https://amqueretaro.com/?p=786600, Exhortan a frenar agresiones contra personal médico, 2020-05-10T21:06:13,                          amqueretaro.com-?p=786600, wordpress
41,actividades no esenciales coronavirus, https://amqueretaro.com/?p=786568, Brian May de Queen es hospitalizado tras accidente, 2020-05-10T17:35:36,                          amqueretaro.com-?p=786568, wordpress
42,actividades no esenciales coronavirus, https://amqueretaro.com/?p=786535, Protección Civil reforzó el operativo para procurar las medidas sanitarias, 2020-05-10T14:08:03,                          amqueretaro.com-?p=786535, wordpress
43,actividades no esenciales coronavirus, https://amqueretaro.com/?p=786073, En México escasea cerveza; en Francia desecharán 10 millones de litros, 2020-05-07T21:45:16,                          amqueretaro.com-?p=786073, wordpress
44,actividades no esenciales coronavirus, https://amqueretaro.com/?p=785995, Medidas en San Juan del Río contienen al COVID-19, 2020-05-07T14:41:20,                          amqueretaro.com-?p=785995, wordpress
45,actividades no esenciales coronavirus, https://amqueretaro.com/?p=785969, Reapertura de actividades se hará de forma gradual: AMLO, 2020-05-07T13:11:30,                          amqueretaro.com-?p=785969, wordpress
46,actividades no esenciales coronavirus, https://amqueretaro.com/?p=785729, Esto propone CDMX para el Día de las Madres durante la pandemia, 2020-05-06T18:15:01,                          amqueretaro.com-?p=785729, wordpress
47,actividades no esenciales coronavirus, https://amqueretaro.com/?p=785515, Solicitan a escuelas particulares flexibilidad con profesores y familias, 2020-05-05T20:21:05,                          amqueretaro.com-?p=785515, wordpress
48,actividades no esenciales coronavirus, https://amqueretaro.com/?p=785391, Para enfrentar la crisis es importante remarcar actividades esenciales y no esenciales, 2020-05-05T10:02:32,                          amqueretaro.com-?p=785391, wordpress
