coef,se,ene,avg,df,graph,lb95,ub95,order,iden2,iden1,iden3
.0083438,.00081920001,96523,.2478521,1074,single alcohol,.0067363861,.0099512143,1,alcohol,mr2,m1
.0043692002,.00093909999,96523,.2478521,1074,single businesses,.0025265212,.0062118787,2,businesses,mr2,m1
-.0003941,.0007566,96523,.2478521,1074,single checkpoints,-.0018786818,.0010904818,3,checkpoints,mr2,m1
.0039559999,.0010686,96523,.2478521,1074,single curfew,.0018592195,.0060527804,4,curfew,mr2,m1
-.0042479001,.0011783,96523,.2478521,1074,single events,-.0065599312,-.0019358689,5,events,mr2,m1
-.0025301999,.00088230002,96523,.2478521,1074,single fines,-.0042614271,-.00079897279,6,fines,mr2,m1
.0015679999,.00069160003,96523,.2478521,1074,single masks,.0002109596,.0029250404,7,masks,mr2,m1
.0064562,.00066319999,96523,.2478521,1074,single mobility,.0051548854,.0077575147,8,mobility,mr2,m1
.0039082002,.00089269999,96523,.2478521,1074,single publicplaces,.0021565661,.005659834,9,publicplaces,mr2,m1
-.0132534,.0012582,96523,-.21871459,1074,single alcohol,-.01572221,-.010784592,1,alcohol,mr1,m1
-.0057195001,.0015621,96523,-.21871459,1074,single businesses,-.0087846136,-.002654386,2,businesses,mr1,m1
.0020631,.0012487,96523,-.21871459,1074,single checkpoints,-.00038706823,.0045132684,3,checkpoints,mr1,m1
-.0054617999,.0016587001,96523,-.21871459,1074,single curfew,-.0087164603,-.00220714,4,curfew,mr1,m1
.0081967004,.001909,96523,-.21871459,1074,single events,.0044509075,.011942493,5,events,mr1,m1
.0085802004,.0014978,96523,-.21871459,1074,single fines,.0056412541,.011519146,6,fines,mr1,m1
-.0012645,.0012084,96523,-.21871459,1074,single masks,-.0036355925,.0011065926,7,masks,mr1,m1
-.0116035,.0011591,96523,-.21871459,1074,single mobility,-.013877857,-.009329143,8,mobility,mr1,m1
-.0056053,.0015366999,96523,-.21871459,1074,single publicplaces,-.0086205751,-.0025900253,9,publicplaces,mr1,m1
.0176384,.0226462,234270,.55860251,2465,single alcohol,-.026769141,.062045943,1,alcohol,covid_1_pc,m1
.096679598,.0201139,234270,.55860251,2465,single businesses,.057237715,.13612148,2,businesses,covid_1_pc,m1
.0104576,.0230336,234270,.55860251,2465,single checkpoints,-.034709603,.055624805,3,checkpoints,covid_1_pc,m1
.0345755,.021960899,234270,.55860251,2465,single curfew,-.0084882183,.077639215,4,curfew,covid_1_pc,m1
-.019424999,.0201061,234270,.55860251,2465,single events,-.058851592,.02000159,5,events,covid_1_pc,m1
.020734901,.0257069,234270,.55860251,2465,single fines,-.02967445,.071144253,6,fines,covid_1_pc,m1
.078360498,.026159801,234270,.55860251,2465,single masks,.027063046,.12965795,7,masks,covid_1_pc,m1
.073765598,.022399399,234270,.55860251,2465,single mobility,.029842015,.11768918,8,mobility,covid_1_pc,m1
.0235138,.0182325,234270,.55860251,2465,single publicplaces,-.012238799,.0592664,9,publicplaces,covid_1_pc,m1
.0018031,.0047975001,234270,.066053502,2465,single alcohol,-.0076044463,.011210646,1,alcohol,deaths_pc,m1
.0026058001,.0032530001,234270,.066053502,2465,single businesses,-.0037730951,.0089846952,2,businesses,deaths_pc,m1
.0033873001,.0039571999,234270,.066053502,2465,single checkpoints,-.0043724799,.01114708,3,checkpoints,deaths_pc,m1
-.0015002,.0019511,234270,.066053502,2465,single curfew,-.0053261644,.0023257644,4,curfew,deaths_pc,m1
-.0143676,.0038156,234270,.066053502,2465,single events,-.021849712,-.0068854876,5,events,deaths_pc,m1
-.0113808,.003553,234270,.066053502,2465,single fines,-.018347973,-.0044136271,6,fines,deaths_pc,m1
.00059329998,.0045222999,234270,.066053502,2465,single masks,-.008274599,.0094611999,7,masks,deaths_pc,m1
.0086057,.0049005002,234270,.066053502,2465,single mobility,-.001003822,.018215222,8,mobility,deaths_pc,m1
.0014408,.0033895001,234270,.066053502,2465,single publicplaces,-.0052057616,.0080873612,9,publicplaces,deaths_pc,m1
