graph,coef,lb95,ub95,ene,avg,iden1,iden2,iden3,order
lasso interactions inflow alcohol,.016828,-.0274678,.0611238,84484,.7758930000000001,covid_1_pc,alcohol,m5,1
lasso interactions inflow businesses,.0196322,-.0329404,.0722048,84484,.7758930000000001,covid_1_pc,businesses,m5,2
lasso interactions inflow checkpoints,.0459229,-.0151966,.1070424,84484,.7758930000000001,covid_1_pc,checkpoints,m5,3
lasso interactions inflow curfew,.008727,-.0944085,.1118625,84484,.7758930000000001,covid_1_pc,curfew,m5,4
lasso interactions inflow events,.0618578,-.0118957,.1356114,84484,.7758930000000001,covid_1_pc,events,m5,5
lasso interactions inflow fines,-.011586,-.0574908,.0343188,84484,.7758930000000001,covid_1_pc,fines,m5,6
lasso interactions inflow masks,.0373725,-.0262132,.1009583,84484,.7758930000000001,covid_1_pc,masks,m5,7
lasso interactions inflow mobility,.0098493,-.0544253,.0741239,84484,.7758930000000001,covid_1_pc,mobility,m5,8
lasso interactions inflow public places,.0287844,-.0215473,.0791162,84484,.7758930000000001,covid_1_pc,public places,m5,9
lasso interactions local alcohol,.1445449,.0000182,.2890716,84484,.7758930000000001,covid_1_pc,alcohol,m5,1
lasso interactions local businesses,.1180504,-.0386587,.2747595,84484,.7758930000000001,covid_1_pc,businesses,m5,2
lasso interactions local checkpoints,-.0808948,-.1790917,.0173022,84484,.7758930000000001,covid_1_pc,checkpoints,m5,3
lasso interactions local curfew,-.0827528,-.1941406,.028635,84484,.7758930000000001,covid_1_pc,curfew,m5,4
lasso interactions local events,.9287611,-1.247813,3.105335,84484,.7758930000000001,covid_1_pc,events,m5,5
lasso interactions local fines,.1519262,.051527,.2523254,84484,.7758930000000001,covid_1_pc,fines,m5,6
lasso interactions local masks,.0473185,-.0160981,.1107352,84484,.7758930000000001,covid_1_pc,masks,m5,7
lasso interactions local mobility,.0121319,-.0507704,.0750341,84484,.7758930000000001,covid_1_pc,mobility,m5,8
lasso interactions local public places,-.0863175,-.1747561,.0021211,84484,.7758930000000001,covid_1_pc,public places,m5,9
lasso interactions inflow alcohol,.0234625,.0018548,.0450703,84484,.0848172,deaths_pc,alcohol,m5,1
lasso interactions inflow businesses,.0387948,-.1054756,.1830652,16539,.46739,deaths_pc,businesses,m5,2
lasso interactions inflow checkpoints,.017839,.0008939,.0347842,84484,.0848172,deaths_pc,checkpoints,m5,3
lasso interactions inflow curfew,.0004401,-.0063042,.0071844,84484,.0848172,deaths_pc,curfew,m5,4
lasso interactions inflow events,.0049703,-.0152011,.0251418,84484,.0848172,deaths_pc,events,m5,5
lasso interactions inflow fines,.0026752,-.0072627,.0126132,84484,.0848172,deaths_pc,fines,m5,6
lasso interactions inflow masks,.0172359,.003454,.0310178,84484,.0848172,deaths_pc,masks,m5,7
lasso interactions inflow mobility,.0179087,.0056131,.0302042,84484,.0848172,deaths_pc,mobility,m5,8
lasso interactions inflow public places,.0149878,-.0021848,.0321604,84484,.0848172,deaths_pc,public places,m5,9
lasso interactions local alcohol,.0075774,-.0159963,.031151,84484,.0848172,deaths_pc,alcohol,m5,1
lasso interactions local businesses,-.0506641,-.1161756,.0148475,16539,.46739,deaths_pc,businesses,m5,2
lasso interactions local checkpoints,.0096838,-.005229,.0245966,84484,.0848172,deaths_pc,checkpoints,m5,3
lasso interactions local curfew,.0004996,-.0116295,.0126287,84484,.0848172,deaths_pc,curfew,m5,4
lasso interactions local events,.0138348,-.0486574,.076327,84484,.0848172,deaths_pc,events,m5,5
lasso interactions local fines,.0012243,-.0149581,.0174067,84484,.0848172,deaths_pc,fines,m5,6
lasso interactions local masks,-.0006606,-.0119532,.010632,84484,.0848172,deaths_pc,masks,m5,7
lasso interactions local mobility,-.0016061,-.0146653,.011453,84484,.0848172,deaths_pc,mobility,m5,8
lasso interactions local public places,-.0103852,-.0251459,.0043754,84484,.0848172,deaths_pc,public places,m5,9
lasso interactions inflow alcohol,.0011281,-.0016677,.003924,45158,-.275883,mr1,alcohol,m5,1
lasso interactions inflow businesses,.0019539,-.0021173,.006025,45158,-.275883,mr1,businesses,m5,2
lasso interactions inflow checkpoints,.0012573,-.0020933,.0046079,45158,-.275883,mr1,checkpoints,m5,3
lasso interactions inflow curfew,-.0001821,-.0017115,.0013473,45158,-.275883,mr1,curfew,m5,4
lasso interactions inflow events,.0019359,-.0024507,.0063226,45158,-.275883,mr1,events,m5,5
lasso interactions inflow fines,.001636,-.0025856,.0058576,45158,-.275883,mr1,fines,m5,6
lasso interactions inflow masks,.0009066,-.002499,.0043122,45158,-.275883,mr1,masks,m5,7
lasso interactions inflow mobility,-.0046951,-.0071617,-.0022286,45158,-.275883,mr1,mobility,m5,8
lasso interactions inflow public places,.0011003,-.0028795,.0050801,45158,-.275883,mr1,public places,m5,9
lasso interactions local alcohol,-.0034724,-.0065462,-.0003986,45158,-.275883,mr1,alcohol,m5,1
lasso interactions local businesses,.00921,.0022802,.0161398,45158,-.275883,mr1,businesses,m5,2
lasso interactions local checkpoints,.0040782,.0007994,.007357,45158,-.275883,mr1,checkpoints,m5,3
lasso interactions local curfew,-.0008017,-.0034683,.001865,45158,-.275883,mr1,curfew,m5,4
lasso interactions local events,.0333328,-.0426381,.1093037,45158,-.275883,mr1,events,m5,5
lasso interactions local fines,-.00188,-.0055085,.0017485,45158,-.275883,mr1,fines,m5,6
lasso interactions local masks,.0056843,.0032569,.0081117,45158,-.275883,mr1,masks,m5,7
lasso interactions local mobility,-.0057248,-.0083029,-.0031467,45158,-.275883,mr1,mobility,m5,8
lasso interactions local public places,-.0042477,-.0098162,.0013209,45158,-.275883,mr1,public places,m5,9
lasso interactions inflow alcohol,-.0003679,-.0018696,.0011337,45158,.2747821,mr2,alcohol,m5,1
lasso interactions inflow businesses,-.0019869,-.0038044,-.0001694,45158,.2747821,mr2,businesses,m5,2
lasso interactions inflow checkpoints,-.001282,-.0026712,.0001073,45158,.2747821,mr2,checkpoints,m5,3
lasso interactions inflow curfew,-.0001152,-.0008912,.0006608,45158,.2747821,mr2,curfew,m5,4
lasso interactions inflow events,-.0036541,-.0056433,-.0016648,45158,.2747821,mr2,events,m5,5
lasso interactions inflow fines,-.0001223,-.0020336,.001789,45158,.2747821,mr2,fines,m5,6
lasso interactions inflow masks,-.0004886,-.001821,.0008439,45158,.2747821,mr2,masks,m5,7
lasso interactions inflow mobility,.0013111,.0000411,.002581,45158,.2747821,mr2,mobility,m5,8
lasso interactions inflow public places,-.0007488,-.0023832,.0008856,45158,.2747821,mr2,public places,m5,9
lasso interactions local alcohol,.0050013,-.0043613,.0143639,45158,.2747821,mr2,alcohol,m5,1
