graph,coef,lb95,ub95,interaction,interactionss,ene,avg,iden1,iden2,iden3,policy_1,policy_2,order_1,order_2
local_alcohol#local_events,.3872587,.0832414,.691276,1,1,84484,1.189361,covid_1,alcohol,m5,local_alcohol,local_events,1,5
local_alcohol#inflow_businesses,.4355185,.028261,.842776,1,1,84484,1.189361,covid_1,alcohol,m5,local_alcohol,inflow_businesses,1,12
local_alcohol#inflow_mobility,.2192806,-.1167302,.5552914,1,0,84484,1.189361,covid_1,alcohol,m5,local_alcohol,inflow_mobility,1,18
local_alcohol#inflow_publicplaces,.1239751,-.1467151,.3946652,1,0,84484,1.189361,covid_1,alcohol,m5,local_alcohol,inflow_publicplaces,1,19
local_alcohol,.7321549000000001,.2782817,1.186028,0,1,84484,1.189361,covid_1,mobility,m5,local_alcohol,,1,
local_alcohol,.7319953,.272809,1.191181,0,1,84484,1.189361,covid_1,public places,m5,local_alcohol,,1,
local_alcohol,.7448029,.2888263,1.200779,0,1,84484,1.189361,covid_1,curfew,m5,local_alcohol,,1,
local_alcohol,.7289652,.275923,1.182007,0,1,84484,1.189361,covid_1,businesses,m5,local_alcohol,,1,
local_alcohol,.7352697,.2798208,1.190719,0,1,84484,1.189361,covid_1,checkpoints,m5,local_alcohol,,1,
local_alcohol,.8465078,.3199589,1.373057,0,1,84484,1.189361,covid_1,alcohol,m5,local_alcohol,,1,
local_alcohol,.7327427,.2805416,1.184944,0,1,84484,1.189361,covid_1,events,m5,local_alcohol,,1,
local_alcohol,.7301202,.274717,1.185524,0,1,84484,1.189361,covid_1,masks,m5,local_alcohol,,1,
local_alcohol,.7351715,.2796053,1.190738,0,1,84484,1.189361,covid_1,fines,m5,local_alcohol,,1,
local_businesses#local_events,-.2168059,-.6966635,.2630518,1,0,84484,1.189361,covid_1,businesses,m5,local_businesses,local_events,2,5
local_businesses#local_fines,.2316924,-.0045792,.4679639,1,0,84484,1.189361,covid_1,checkpoints,m5,local_businesses,local_fines,2,6
local_businesses#local_fines,.2255875,-.0141923,.4653674,1,0,84484,1.189361,covid_1,masks,m5,local_businesses,local_fines,2,6
local_businesses#local_fines,.2271672,-.0085744,.4629089,1,0,84484,1.189361,covid_1,businesses,m5,local_businesses,local_fines,2,6
local_businesses#local_fines,.2310778,-.0053059,.4674615,1,0,84484,1.189361,covid_1,events,m5,local_businesses,local_fines,2,6
local_businesses#local_fines,.2319177,-.0063122,.4701476,1,0,84484,1.189361,covid_1,public places,m5,local_businesses,local_fines,2,6
local_businesses#local_fines,.227909,-.00827,.4640881,1,0,84484,1.189361,covid_1,alcohol,m5,local_businesses,local_fines,2,6
local_businesses#local_fines,.2263496,-.0188521,.4715513,1,0,84484,1.189361,covid_1,mobility,m5,local_businesses,local_fines,2,6
local_businesses#local_fines,.2273648,-.0078699,.4625996,1,0,84484,1.189361,covid_1,curfew,m5,local_businesses,local_fines,2,6
local_businesses#inflow_curfew,.220413,.0167989,.424027,1,1,84484,1.189361,covid_1,businesses,m5,local_businesses,inflow_curfew,2,14
local_businesses#inflow_mobility,.1656734,-.0320236,.3633704,1,0,84484,1.189361,covid_1,businesses,m5,local_businesses,inflow_mobility,2,18
local_businesses,.4986481,.0571876,.9401085,0,1,84484,1.189361,covid_1,businesses,m5,local_businesses,,2,
local_businesses,.4296578,-.0028143,.8621299,0,0,84484,1.189361,covid_1,checkpoints,m5,local_businesses,,2,
local_businesses,.4297109,-.0030465,.8624683,0,0,84484,1.189361,covid_1,fines,m5,local_businesses,,2,
local_businesses,.4234591,-.0076961,.8546142,0,0,84484,1.189361,covid_1,curfew,m5,local_businesses,,2,
local_businesses,.4437383,-.0124584,.8999349,0,0,84484,1.189361,covid_1,events,m5,local_businesses,,2,
local_businesses,.3989139,-.0414612,.839289,0,0,84484,1.189361,covid_1,alcohol,m5,local_businesses,,2,
local_businesses,.4403865,.0112029,.8695701,0,1,84484,1.189361,covid_1,mobility,m5,local_businesses,,2,
local_businesses,.4727246,.0288229,.9166264,0,1,84484,1.189361,covid_1,masks,m5,local_businesses,,2,
local_businesses,.430071,-.0097509,.8698929,0,0,84484,1.189361,covid_1,public places,m5,local_businesses,,2,
local_checkpoints#local_publicplaces,-.154515,-.6299091,.3208791,1,0,84484,1.189361,covid_1,alcohol,m5,local_checkpoints,local_publicplaces,3,9
local_checkpoints#local_publicplaces,-.1767346,-.6462724,.2928033,1,0,84484,1.189361,covid_1,checkpoints,m5,local_checkpoints,local_publicplaces,3,9
local_checkpoints#local_publicplaces,-.1474596,-.6263841999999999,.331465,1,0,84484,1.189361,covid_1,businesses,m5,local_checkpoints,local_publicplaces,3,9
local_checkpoints#local_publicplaces,-.176577,-.6456285,.2924745,1,0,84484,1.189361,covid_1,fines,m5,local_checkpoints,local_publicplaces,3,9
local_checkpoints#local_publicplaces,-.176902,-.6455535999999999,.2917496,1,0,84484,1.189361,covid_1,mobility,m5,local_checkpoints,local_publicplaces,3,9
local_checkpoints#local_publicplaces,-.1769292,-.6462468,.2923885,1,0,84484,1.189361,covid_1,curfew,m5,local_checkpoints,local_publicplaces,3,9
local_checkpoints#local_publicplaces,-.1663295,-.6397124,.3070534,1,0,84484,1.189361,covid_1,masks,m5,local_checkpoints,local_publicplaces,3,9
local_checkpoints#local_publicplaces,-.1663448,-.6473384,.3146488,1,0,84484,1.189361,covid_1,events,m5,local_checkpoints,local_publicplaces,3,9
local_checkpoints#inflow_mobility,.0275148,-.2709892,.3260188,1,0,84484,1.189361,covid_1,checkpoints,m5,local_checkpoints,inflow_mobility,3,18
local_checkpoints,-.5572668,-1.128897,.0143633,0,0,84484,1.189361,covid_1,curfew,m5,local_checkpoints,,3,
local_checkpoints,-.5986941,-1.18787,-.0095181,0,1,84484,1.189361,covid_1,alcohol,m5,local_checkpoints,,3,
local_checkpoints,-.6035391,-1.232725,.025647,0,0,84484,1.189361,covid_1,masks,m5,local_checkpoints,,3,
local_checkpoints,-.5725199,-1.175424,.0303842,0,0,84484,1.189361,covid_1,public places,m5,local_checkpoints,,3,
local_checkpoints,-.5633396000000001,-1.170385,.0437057,0,0,84484,1.189361,covid_1,mobility,m5,local_checkpoints,,3,
local_checkpoints,-.6285392,-1.281287,.0242087,0,0,84484,1.189361,covid_1,events,m5,local_checkpoints,,3,
local_checkpoints,-.5605525,-1.14756,.026455,0,0,84484,1.189361,covid_1,fines,m5,local_checkpoints,,3,
local_checkpoints,-.6301009,-1.260007,-.000195,0,1,84484,1.189361,covid_1,businesses,m5,local_checkpoints,,3,
local_checkpoints,-.5595366000000001,-1.13144,.0123669,0,0,84484,1.189361,covid_1,checkpoints,m5,local_checkpoints,,3,
local_curfew#local_masks,.0365447,-.301029,.3741183,1,0,84484,1.189361,covid_1,curfew,m5,local_curfew,local_masks,4,7
local_curfew#inflow_events,.0817161,-.1855018,.3489341,1,0,84484,1.189361,covid_1,curfew,m5,local_curfew,inflow_events,4,15
local_curfew#inflow_fines,.0276863,-.2082668,.2636393,1,0,84484,1.189361,covid_1,curfew,m5,local_curfew,inflow_fines,4,16
