code_INEGI,sample_mobility,sample_mobility2,sample_mobility3,sample_cases_1,sample_cases_2,sample_cases_3
1001,1,1,1,1,1,1
1002,1,1,1,1,1,1
1003,1,1,1,1,1,1
1004,1,0,0,1,0,0
1005,1,1,1,1,1,1
1006,1,0,0,1,0,0
1007,1,1,1,1,1,1
1008,1,1,1,1,1,1
1009,0,0,0,1,1,1
1010,0,0,0,1,1,1
1011,0,0,0,1,0,0
2001,1,1,1,1,1,1
2002,1,1,1,1,1,1
2003,1,1,1,1,1,1
2004,1,1,1,1,1,1
2005,0,0,0,1,1,1
2006,0,0,0,1,0,0
3001,1,1,1,1,1,1
3002,1,1,1,1,1,1
3003,1,1,1,1,1,1
3008,0,0,0,1,1,1
3009,0,0,0,1,1,1
4001,1,1,1,1,1,1
4002,1,1,1,1,1,1
4003,1,1,1,1,1,1
4004,1,1,1,1,1,1
4005,1,1,1,1,1,1
4006,1,1,1,1,1,1
4007,0,0,0,1,1,1
4008,1,1,1,1,1,1
4009,0,0,0,1,1,1
4010,0,0,0,1,1,1
4011,0,0,0,1,1,1
5001,0,0,0,1,1,1
5002,1,1,1,1,1,1
5003,1,0,0,1,0,0
5004,1,1,1,1,1,1
5005,0,0,0,1,1,1
5006,1,1,1,1,1,1
5007,1,1,1,1,1,1
5008,0,0,0,1,1,1
5009,1,1,1,1,1,1
5010,1,1,1,1,1,1
5011,1,1,1,1,1,1
5012,0,0,0,1,1,1
5013,0,0,0,1,1,1
5014,0,0,0,1,1,1
5015,0,0,0,1,1,1
5016,0,0,0,1,0,0
5017,1,1,1,1,1,1
5018,1,1,1,1,1,1
5019,1,1,1,1,1,1
5020,1,1,1,1,1,1
5021,0,0,0,1,0,0
5022,1,1,1,1,1,1
5023,0,0,0,1,1,1
5024,1,1,1,1,1,1
5025,1,1,1,1,1,1
5026,1,1,1,1,1,1
5027,1,1,1,1,1,1
5028,1,1,1,1,1,1
5029,0,0,0,1,0,0
5030,1,1,1,1,1,1
5031,0,0,0,1,1,1
5032,0,0,0,1,1,1
5033,1,1,1,1,1,1
5034,1,1,1,1,1,1
5035,1,1,1,1,1,1
5036,1,1,1,1,1,1
5037,0,0,0,1,1,1
5038,1,1,1,1,1,1
6001,1,1,1,1,1,1
6002,1,1,1,1,1,1
6003,1,1,1,1,1,1
6004,1,1,1,1,1,1
6005,1,1,1,1,1,1
6006,0,0,0,1,1,1
6007,1,1,1,1,1,1
6008,0,0,0,1,1,1
6009,1,1,1,1,1,1
6010,1,0,0,1,0,0
7001,0,0,0,1,1,1
7002,1,1,1,1,1,1
7003,1,1,1,1,1,1
7004,0,0,0,1,1,1
7005,0,0,0,1,1,1
7006,1,0,0,1,0,0
7007,0,0,0,1,0,0
7008,1,1,1,1,1,1
7009,1,1,1,1,1,1
7010,0,0,0,1,0,0
7011,1,0,0,1,0,0
7012,1,0,0,1,0,0
7013,1,1,1,1,1,1
7014,0,0,0,1,1,1
7015,1,1,1,1,1,1
7016,0,0,0,1,1,1
7017,1,1,1,1,1,1
7018,0,0,0,1,0,0
7019,1,1,1,1,1,1
7020,1,1,1,1,1,1
7021,1,1,1,1,1,1
7022,0,0,0,1,0,0
7023,1,0,0,1,0,0
7024,0,0,0,1,0,0
7025,0,0,0,1,0,0
7026,0,0,0,1,1,1
7027,1,1,1,1,1,0
7028,0,0,0,1,1,1
7029,0,0,0,1,0,0
7030,1,1,1,1,1,1
7031,1,1,1,1,1,1
7032,1,1,1,1,1,1
7033,0,0,0,1,0,0
7034,1,1,1,1,1,1
7035,0,0,0,1,0,0
7036,0,0,0,1,1,1
7037,1,1,1,1,1,1
7038,0,0,0,1,1,1
7039,0,0,0,1,1,1
7040,1,1,1,1,1,1
7041,0,0,0,1,1,1
7042,0,0,0,1,0,0
7043,0,0,0,1,1,1
7044,0,0,0,1,1,1
7045,0,0,0,1,0,0
7046,1,1,1,1,1,1
7047,0,0,0,1,1,1
7048,1,1,1,1,1,1
7049,0,0,0,1,1,1
7050,0,0,0,1,1,1
7051,1,1,1,1,1,1
7052,1,1,1,1,1,1
7053,0,0,0,1,1,1
7054,1,1,1,1,1,1
7055,0,0,0,1,0,0
7056,0,0,0,1,1,1
7057,1,1,1,1,1,1
7058,0,0,0,1,0,0
7059,1,1,1,1,1,1
7060,0,0,0,1,0,0
7061,1,1,1,1,1,1
7062,1,1,1,1,1,1
7063,0,0,0,1,1,1
7064,0,0,0,1,1,1
7065,1,1,1,1,1,1
7066,0,0,0,1,0,0
7067,0,0,0,1,1,1
7068,1,1,1,1,1,1
7069,1,1,1,1,1,1
7070,0,0,0,1,0,0
7071,1,1,1,1,1,1
7072,1,1,1,1,1,1
7073,0,0,0,1,0,0
7074,1,1,1,1,1,1
7075,1,1,1,1,1,1
7076,0,0,0,1,1,1
7077,1,1,1,1,1,1
7078,1,1,1,1,1,1
7079,1,1,1,1,1,1
7080,1,1,1,1,1,1
7081,1,0,0,1,0,0
7082,0,0,0,1,1,1
7083,0,0,0,1,1,1
7084,0,0,0,1,0,0
7085,0,0,0,1,0,0
7086,1,1,1,1,1,1
7087,1,1,1,1,1,1
7088,0,0,0,1,0,0
7089,1,1,1,1,1,1
7090,0,0,0,1,0,0
7091,0,0,0,1,0,0
7092,1,1,1,1,1,1
7093,0,0,0,1,0,0
7094,1,1,1,1,1,1
7096,0,0,0,1,1,1
7097,1,1,1,1,1,1
7098,0,0,0,1,0,0
7099,1,1,1,1,1,1
7100,0,0,0,1,1,1
7101,1,1,1,1,1,1
7102,1,1,1,1,1,1
7103,1,1,1,1,1,1
7104,1,1,1,1,1,1
7105,0,0,0,1,0,0
7106,1,1,1,1,1,1
7107,1,1,1,1,1,1
7108,1,1,1,1,1,1
7109,1,0,0,1,0,0
7110,0,0,0,1,0,0
7111,1,1,1,1,1,1
7112,0,0,0,1,1,1
