days_first_case,cum_school,cum_alcohol,cum_fines,cum_curfew,cum_businesses,cum_publicplaces,cum_events,cum_masks,cum_mobility
-20,1,0,0,0,1,0,4,1,0
-19,1,0,0,0,1,0,1,0,0
-18,1,0,0,0,1,1,3,1,0
-17,0,0,0,1,0,0,0,0,0
-16,2,0,0,0,1,1,2,0,0
-15,1,0,0,1,1,1,2,0,0
-14,0,0,0,0,0,0,1,1,0
-13,1,0,0,1,1,1,3,1,0
-12,1,0,0,1,1,1,3,1,0
-11,3,0,0,2,3,2,5,0,0
-10,0,0,0,0,0,1,2,0,0
-9,3,0,0,2,2,1,4,0,0
-8,4,0,0,1,2,1,5,0,0
-7,2,0,0,0,2,0,3,1,0
-6,2,0,0,0,0,0,4,1,0
-5,0,0,0,1,0,0,4,1,0
-4,0,0,0,0,0,0,1,1,0
-3,2,0,0,0,1,0,9,1,0
-2,4,0,0,1,4,0,8,1,0
-1,6,0,0,1,4,0,15,2,0
0,33,0,0,9,18,3,45,5,1
1,45,0,0,10,19,3,52,6,3
2,56,0,0,10,23,6,60,7,5
3,66,0,0,12,29,7,66,8,5
4,73,0,0,15,32,8,71,8,5
5,78,0,1,16,34,8,72,8,5
6,86,0,1,20,42,9,76,8,5
7,89,0,1,22,46,10,82,8,6
8,93,0,1,26,49,10,85,9,7
9,94,0,1,26,54,11,88,10,8
10,99,0,1,28,58,12,92,10,9
11,102,0,1,30,63,14,96,14,9
12,107,0,1,31,68,14,101,15,10
13,114,0,1,35,77,15,106,17,12
14,118,0,1,39,79,16,113,18,13
15,123,0,1,40,86,18,116,19,13
16,125,0,1,42,89,20,123,20,15
17,131,0,1,47,92,20,128,21,15
18,131,0,1,48,94,22,132,22,15
19,132,0,1,48,96,22,134,23,17
20,134,0,1,52,96,23,135,23,18
21,134,0,1,57,97,24,136,25,19
22,135,0,1,57,100,24,139,26,19
23,136,0,1,60,102,27,140,26,19
24,138,0,1,64,104,28,140,27,19
25,138,0,1,66,110,29,141,28,20
26,138,0,1,69,111,30,141,29,20
27,139,0,1,73,112,30,143,29,20
28,139,0,1,75,113,32,143,29,20
29,139,0,1,76,113,33,144,31,21
30,142,1,1,78,114,33,144,31,21
31,142,1,1,79,115,34,144,32,22
32,142,1,1,82,116,35,144,33,23
33,142,1,1,82,117,35,144,33,24
34,142,1,2,85,118,35,145,37,24
35,143,1,2,85,119,35,145,39,24
36,145,1,2,85,119,36,148,40,24
37,146,1,2,85,120,36,148,40,24
38,151,1,2,85,122,36,149,40,24
39,152,1,2,86,124,38,149,41,24
40,155,1,2,87,125,38,150,46,24
41,155,1,3,87,126,40,151,47,24
42,155,1,3,88,128,40,153,47,25
43,155,1,3,89,128,40,156,47,26
44,157,1,4,90,128,40,157,47,26
45,158,1,4,90,130,41,159,47,27
46,159,1,4,90,132,42,160,49,27
47,159,1,4,91,133,43,162,51,27
48,159,1,4,92,135,43,162,52,27
49,161,1,4,92,135,45,162,54,28
50,161,1,4,93,136,47,164,54,28
51,162,1,4,93,137,47,164,54,28
52,162,1,4,95,139,47,164,58,30
53,163,1,4,96,140,48,165,59,31
54,164,1,4,98,142,48,165,60,32
55,163,1,4,97,141,48,164,61,33
56,163,1,4,98,142,48,164,61,33
57,164,1,4,98,143,50,164,63,33
58,165,1,4,100,144,51,164,64,33
59,165,1,4,100,144,52,164,64,33
60,165,1,4,100,144,53,164,64,33
61,166,1,4,100,144,53,164,64,35
62,166,1,5,100,144,53,165,65,35
63,165,1,5,99,144,53,165,66,35
64,165,1,5,99,144,53,165,67,35
65,165,1,5,99,144,53,166,68,35
66,165,1,6,99,144,53,167,70,35
67,165,1,6,100,144,53,167,71,35
68,165,1,6,101,144,53,167,71,35
69,165,1,6,101,144,53,167,74,35
70,165,1,6,102,145,54,167,74,35
71,165,1,6,102,146,54,167,76,36
72,165,1,6,102,147,54,167,78,36
73,166,1,6,102,147,54,167,78,36
74,166,1,6,102,147,54,167,78,36
75,166,2,6,102,147,54,167,78,36
76,166,2,6,102,147,54,167,79,36
77,166,2,6,102,147,54,167,79,36
78,166,2,6,102,148,55,167,80,36
79,166,2,6,102,148,55,167,80,36
80,166,2,6,102,148,55,167,80,37
81,167,2,6,102,148,55,167,80,37
82,167,2,6,102,148,55,167,80,37
83,167,2,6,102,148,55,167,80,37
84,167,2,6,102,148,55,167,82,38
85,167,2,6,102,148,55,167,82,38
86,167,2,6,102,149,55,167,82,38
87,167,2,6,102,149,56,167,83,38
88,167,2,6,102,149,56,167,85,38
89,167,2,6,102,149,56,167,87,38
90,167,2,6,102,149,56,167,88,38
91,167,2,6,102,149,56,167,88,38
92,166,2,6,101,149,56,166,88,38
93,166,2,6,101,149,56,166,88,39
94,166,2,6,101,149,56,166,89,40
95,166,2,6,101,149,56,166,89,40
96,166,2,6,101,149,56,166,89,40
97,166,2,6,102,149,56,166,89,40
98,167,2,6,102,149,56,166,89,41
99,167,2,6,102,150,56,166,89,41
100,167,2,6,102,150,56,166,89,41
101,167,2,6,102,150,56,166,89,41
102,167,2,6,102,151,56,166,89,41
103,167,2,6,102,151,57,166,90,41
104,168,2,6,102,151,57,166,90,41
105,169,2,6,102,151,58,166,90,41
106,169,2,6,102,151,60,166,91,42
107,170,2,6,102,151,60,166,91,42
108,170,2,6,103,151,60,166,91,43
109,170,2,6,103,151,60,166,91,43
110,170,2,6,103,151,60,166,91,43
111,170,2,6,103,151,60,166,91,43
112,170,2,6,103,151,60,166,91,43
113,170,2,6,103,151,60,166,92,44
114,170,2,6,103,152,60,166,92,44
115,170,2,6,103,152,60,166,92,44
116,170,2,6,103,152,61,166,92,44
117,170,2,6,103,152,61,166,92,44
118,170,2,6,103,152,61,166,92,44
119,170,2,6,103,152,61,166,92,44
120,170,2,6,103,153,61,166,92,44
121,170,2,6,103,153,61,166,92,44
122,170,2,6,103,153,61,166,92,44
123,170,2,6,103,153,61,166,92,44
124,170,2,6,104,153,61,166,93,44
125,170,2,6,104,154,61,166,94,44
126,170,2,6,104,154,62,166,94,44
127,170,2,6,104,154,62,166,95,45
128,170,2,6,104,154,62,166,95,45
129,170,2,6,104,154,62,166,95,45
130,170,2,6,104,154,62,166,95,45
131,170,2,6,104,154,62,166,95,45
132,170,2,6,104,154,62,166,95,45
133,170,2,6,105,154,62,166,96,45
134,170,2,6,105,154,62,166,96,45
135,170,2,6,105,154,62,166,96,45
136,170,2,6,105,154,62,166,96,45
137,170,2,6,105,154,62,166,96,45
138,170,2,6,106,154,62,166,96,45
139,170,2,6,106,154,62,166,96,45
140,170,2,6,106,154,62,166,96,45
141,170,2,6,106,154,62,166,96,45
142,170,2,6,106,154,62,166,96,45
143,170,2,6,106,154,62,166,96,45
144,170,2,6,106,154,62,166,96,45
145,170,2,6,106,154,63,166,96,45
146,170,2,6,106,154,63,166,96,45
147,170,2,6,106,154,63,166,96,45
148,170,2,6,107,154,63,166,96,45
149,170,2,6,107,154,63,166,96,46
150,170,2,6,107,154,64,166,96,46
151,170,2,6,107,154,64,166,96,46
152,170,2,6,107,154,64,166,96,46
153,170,2,6,107,154,64,166,96,46
154,170,2,6,107,154,64,166,96,47
155,170,2,6,107,154,64,166,97,47
156,170,2,6,107,154,64,166,97,47
157,170,2,6,107,154,64,166,97,47
158,170,2,6,107,154,64,166,97,47
159,170,2,6,107,154,64,166,97,47
160,170,2,6,107,154,64,166,97,47
161,170,2,6,107,154,64,166,97,47
162,170,2,6,107,154,64,166,97,47
163,170,2,6,107,154,64,166,98,47
164,170,2,6,107,154,64,166,98,47
165,170,2,6,107,154,64,166,98,47
166,170,2,6,107,154,64,166,99,47
167,170,2,6,107,154,64,166,99,47
168,171,2,6,107,154,64,166,99,47
169,171,2,6,107,154,64,166,99,47
170,171,2,6,107,154,64,166,99,47
171,171,2,6,107,154,64,166,99,47
172,171,2,6,107,154,64,166,99,47
173,171,2,6,107,154,64,166,99,47
174,171,2,6,107,154,64,166,99,47
175,171,2,6,107,154,64,166,99,47
176,171,2,6,107,154,64,166,99,47
177,171,2,6,108,154,64,166,99,47
178,171,2,6,108,154,64,166,99,47
179,171,2,6,108,154,64,166,99,47
180,171,2,6,108,154,64,166,99,47
181,171,2,6,108,154,64,166,99,47
182,171,2,6,108,154,64,166,99,47
183,171,2,6,108,154,64,166,99,47
184,171,2,6,108,154,64,166,99,47
185,171,2,6,108,154,64,166,99,47
186,171,2,6,108,154,64,166,99,47
187,171,2,6,108,154,64,166,99,47
188,171,2,6,108,154,64,166,99,47
189,171,2,6,108,154,64,166,99,47
190,171,2,6,108,154,64,166,99,47
191,171,2,6,108,154,64,166,99,47
192,171,2,6,108,154,64,166,99,47
193,171,2,6,108,154,64,166,99,47
194,171,2,6,108,154,64,166,99,47
195,171,2,6,108,154,64,166,99,47
196,171,2,6,108,154,64,166,99,47
197,171,2,6,108,154,64,166,99,47
198,171,2,6,108,154,64,166,99,47
199,171,2,6,108,154,64,166,99,47
200,171,2,6,108,154,64,166,99,47
201,171,2,6,108,154,64,166,99,47
202,171,2,6,108,154,64,166,99,47
203,171,2,6,108,154,64,166,99,47
