days_first_case,cum_school,cum_alcohol,cum_fines,cum_curfew,cum_businesses,cum_publicplaces,cum_events,cum_masks,cum_mobility
-20,1,0,0,0,1,0,4,1,0
-19,1,0,0,0,1,0,1,0,0
-18,1,0,0,0,1,1,3,1,0
-17,0,0,0,1,0,0,0,0,0
-16,2,0,0,0,1,1,2,0,0
-15,0,0,0,0,0,0,1,0,0
-14,0,0,0,0,0,0,1,0,0
-13,0,0,0,0,0,0,2,1,0
-12,0,0,0,0,0,0,1,0,0
-11,2,0,0,1,1,0,4,0,0
-10,0,0,0,0,0,0,2,0,0
-9,1,0,0,1,1,0,3,0,0
-8,1,0,0,0,0,0,3,0,0
-7,1,0,0,0,1,0,1,0,0
-6,2,0,0,0,0,0,4,1,0
-5,0,0,0,1,0,0,4,1,0
-4,0,0,0,0,0,0,1,0,0
-3,3,0,0,0,1,0,8,1,0
-2,2,0,0,1,2,1,6,1,0
-1,5,0,0,1,5,0,13,2,0
0,31,0,0,8,15,2,43,3,2
1,44,0,0,9,16,2,51,4,2
2,54,0,0,10,19,4,58,4,3
3,64,0,0,11,23,6,65,5,3
4,69,0,0,14,28,7,71,6,3
5,75,0,1,15,34,7,71,6,4
6,82,0,1,18,39,9,75,6,4
7,86,0,1,21,43,9,81,6,5
8,89,0,1,25,44,10,83,7,6
9,90,0,1,25,49,10,87,8,7
10,95,0,1,27,54,10,90,8,7
11,98,0,1,30,58,13,92,11,7
12,104,0,1,31,61,13,98,11,8
13,107,0,1,32,72,13,101,11,9
14,113,0,1,36,76,13,107,12,9
15,118,0,1,37,79,16,111,13,10
16,122,0,1,38,82,17,115,14,10
17,124,0,1,42,86,18,125,14,10
18,125,0,1,43,88,19,127,16,10
19,126,0,1,43,88,19,128,16,11
20,128,0,1,46,90,19,129,16,12
21,128,0,1,50,90,19,130,17,12
22,129,0,1,50,94,19,134,18,13
23,130,0,1,51,95,21,134,19,13
24,133,0,1,53,98,23,134,20,13
25,133,0,1,55,101,24,136,21,13
26,134,0,1,55,103,24,136,21,13
27,135,0,1,59,103,25,138,21,13
28,135,0,1,62,105,26,138,21,14
29,136,0,1,62,105,27,139,23,15
30,138,1,1,64,107,27,139,23,15
31,138,1,1,64,109,28,139,24,15
32,138,1,1,66,109,29,140,26,16
33,138,1,1,67,109,29,140,26,16
34,138,1,1,70,110,29,141,29,16
35,139,1,1,71,110,30,141,31,16
36,141,1,1,71,110,31,143,32,16
37,142,1,1,71,111,31,143,32,16
38,143,1,1,71,112,32,144,32,16
39,145,1,1,72,114,33,144,33,16
40,147,1,1,73,115,33,145,36,16
41,147,1,2,73,116,34,146,36,16
42,148,1,2,74,118,34,147,36,17
43,149,1,2,75,118,34,151,36,17
44,150,1,2,75,118,34,152,36,17
45,151,1,2,75,119,34,152,36,17
46,153,1,2,75,119,34,154,38,17
47,153,1,2,76,120,34,156,39,17
48,153,1,2,77,120,35,156,41,17
49,153,1,2,78,123,36,156,42,18
50,153,1,2,79,124,36,158,42,18
51,153,1,2,80,126,36,158,43,18
52,154,1,2,80,127,36,159,45,18
53,156,1,2,82,129,38,159,45,18
54,156,1,2,82,129,38,160,47,18
55,155,1,2,82,128,38,159,47,18
56,155,1,2,82,129,38,159,48,18
57,156,1,2,83,132,38,159,51,18
58,156,1,2,83,133,38,159,51,18
59,156,1,2,84,133,40,159,51,18
60,156,1,2,84,133,41,159,51,19
61,157,1,2,84,134,41,159,51,20
62,157,1,3,84,134,41,160,52,20
63,156,1,3,83,134,41,160,52,20
64,156,1,3,83,134,41,160,54,20
65,156,1,3,83,135,41,161,55,20
66,156,1,3,83,135,41,161,56,20
67,156,1,3,83,135,41,161,57,20
68,156,1,3,83,135,41,161,58,20
69,156,1,3,83,135,41,161,61,20
70,156,1,3,83,136,42,161,61,20
71,156,1,3,83,136,42,161,63,21
72,156,1,3,84,137,42,161,65,21
73,157,1,3,84,137,42,161,65,21
74,158,1,3,84,137,42,161,65,21
75,159,1,3,84,137,42,161,65,21
76,160,1,3,84,137,43,161,65,21
77,160,1,3,84,137,43,161,65,21
78,160,1,3,84,138,44,161,65,21
79,160,1,3,84,138,44,161,65,22
80,160,1,3,84,138,44,161,65,22
81,161,1,3,84,138,44,161,65,22
82,161,1,3,84,138,44,161,65,22
83,161,1,3,84,139,44,161,66,22
84,161,1,3,84,139,44,161,67,23
85,161,1,3,84,139,44,161,68,23
86,161,1,3,84,140,44,161,69,23
87,161,1,3,84,140,44,161,70,23
88,161,1,3,84,140,45,161,71,23
89,161,1,3,84,141,45,161,73,23
90,161,1,3,84,141,45,161,73,23
91,161,1,3,85,141,45,161,74,23
92,160,1,3,84,141,45,160,74,23
93,160,1,3,84,141,45,160,74,24
94,160,1,3,84,141,45,160,76,25
95,160,1,3,84,141,45,160,76,25
96,160,1,3,84,141,46,160,76,25
97,160,1,3,84,141,46,160,76,25
98,161,1,3,85,141,46,160,76,25
99,161,1,3,85,142,46,160,76,25
100,161,1,3,85,142,46,160,78,25
101,161,1,3,85,142,46,160,78,25
102,161,1,3,85,143,46,160,78,25
103,161,1,3,85,143,47,160,80,25
104,162,1,3,85,143,47,160,80,25
105,163,1,3,85,143,49,160,80,25
106,163,1,3,85,143,49,160,81,26
107,163,1,3,85,143,49,160,82,26
108,163,1,3,86,143,49,160,82,27
109,163,1,3,86,143,50,160,82,27
110,163,1,3,86,143,50,160,82,27
111,163,1,3,86,143,50,160,82,27
112,163,1,3,86,143,50,160,82,27
113,163,1,3,86,143,50,160,84,27
114,163,1,3,86,144,50,160,84,29
115,163,1,3,86,144,50,160,84,29
116,163,1,3,86,144,51,160,84,29
117,163,1,3,86,144,51,160,84,29
118,163,1,3,86,144,51,160,84,29
119,163,1,3,86,144,51,160,84,29
120,163,1,3,86,145,51,160,84,29
121,163,1,3,86,145,51,160,84,29
122,163,1,3,86,145,51,160,84,29
123,163,1,3,86,145,51,160,84,29
124,163,1,3,87,145,51,160,85,29
125,163,1,3,87,145,51,160,85,29
126,163,1,3,87,145,51,160,86,29
127,163,1,3,87,145,51,160,87,29
128,163,1,3,87,145,51,160,87,30
129,163,1,3,87,145,51,160,87,30
130,163,1,3,87,146,51,160,87,30
131,163,1,3,87,146,51,160,87,30
132,163,1,3,87,146,51,160,87,30
133,163,1,3,87,146,51,160,88,30
134,163,1,3,87,146,51,160,88,30
135,163,1,3,87,146,51,160,88,30
136,163,1,3,87,146,52,160,88,30
137,163,1,3,87,146,52,160,88,30
138,163,1,3,87,146,52,160,88,30
139,163,1,3,87,146,52,160,88,30
140,163,1,3,87,146,52,160,88,30
141,163,1,3,87,146,52,160,88,30
142,163,1,3,87,146,52,160,88,30
143,163,1,3,87,146,52,160,88,30
144,163,1,3,87,146,52,160,88,30
145,163,1,3,87,146,52,160,88,30
146,163,1,3,87,146,52,160,88,30
147,163,1,3,88,146,52,160,88,30
148,163,1,3,88,146,52,160,88,31
149,163,1,3,88,146,52,160,88,31
150,163,1,3,88,146,53,160,88,31
151,163,1,3,88,146,53,160,88,31
152,163,1,3,88,146,53,160,88,31
153,163,1,3,88,146,53,160,88,31
154,163,1,3,88,146,53,160,88,31
155,163,1,3,88,146,53,160,89,32
156,163,1,3,88,146,53,160,89,32
157,163,1,3,88,146,53,160,89,32
158,163,1,3,88,146,53,160,89,32
159,163,1,3,88,146,53,160,89,32
160,163,1,3,88,146,53,160,89,32
161,163,1,3,88,146,53,160,89,32
162,163,1,3,88,146,53,160,89,32
163,163,1,3,88,146,53,160,90,32
164,163,1,3,88,146,53,160,90,32
165,163,1,3,88,146,53,160,90,32
166,163,1,3,88,146,53,160,90,32
167,163,1,3,88,146,53,160,90,32
168,164,1,3,88,146,53,160,90,32
169,164,1,3,88,146,53,160,90,32
170,164,1,3,88,146,53,160,90,32
171,164,1,3,88,146,53,160,90,32
172,164,1,3,88,146,53,160,90,32
173,164,1,3,88,146,53,160,90,32
174,164,1,3,88,146,53,160,90,32
175,164,1,3,88,146,53,160,90,32
176,164,1,3,88,146,53,160,90,32
177,164,1,3,88,146,53,160,90,32
178,164,1,3,88,146,53,160,90,32
179,164,1,3,88,146,53,160,90,32
180,164,1,3,88,146,53,160,90,32
181,164,1,3,88,146,53,160,90,32
182,164,1,3,88,146,53,160,90,32
183,164,1,3,88,146,53,160,90,32
184,164,1,3,88,146,53,160,90,32
185,164,1,3,88,146,53,160,90,32
186,164,1,3,88,146,53,160,90,32
187,164,1,3,88,146,53,160,90,32
188,164,1,3,88,146,53,160,90,32
189,164,1,3,88,146,53,160,90,32
190,164,1,3,88,146,53,160,90,32
191,164,1,3,88,146,53,160,90,32
192,164,1,3,88,146,53,160,90,32
193,164,1,3,88,146,53,160,90,32
194,164,1,3,88,146,53,160,90,32
195,164,1,3,88,146,53,160,90,32
196,164,1,3,88,146,53,160,90,32
197,164,1,3,88,146,53,160,90,32
198,164,1,3,88,146,53,160,90,32
199,164,1,3,88,146,53,160,90,32
200,164,1,3,88,146,53,160,90,32
201,164,1,3,88,146,53,160,90,32
202,164,1,3,88,146,53,160,90,32
203,164,1,3,88,146,53,160,90,32
